,slokas_no,slokas,slokas(no number),slokas_english
10,11.0,सर्वद्वारेषु देहेऽस्मिन्प्रकाश उपजायते ।ज्ञानं यदा तदा विद्याद्विवृद्धं सत्त्वमित्युत ॥ ११ ॥,"When knowledge is enlarged in all the gates of the body, it is known as the enlarged mode of goodness. .","When knowledge is enlarged in all the gates of the body, it is known as the enlarged mode of goodness. 11."
11,12.0,लोभ: प्रवृत्तिरारम्भ: कर्मणामशम: स्पृहा ।रजस्येतानि जायन्ते विवृद्धे भरतर्षभ ॥ १२ ॥,"O best of the Bharatas, when these things are enlarged, they are born of greed, activity, involvement, irreligion, and desire for modes of passion.  ॥","O best of the Bharatas, when these things are enlarged, they are born of greed, activity, involvement, irreligion, and desire for modes of passion. 12 ॥"
12,13.0,अप्रकाशोऽप्रवृत्तिश्च प्रमादो मोह एव च ।तमस्येतानि जायन्ते विवृद्धे कुरुनन्दन ॥ १३ ॥,"O son of the Kurus, when these are enlarged, these things are born of the darkness of the darkness, which are not illuminated, incompetent, negligence and delusion.  ॥","O son of the Kurus, when these are enlarged, these things are born of the darkness of the darkness, which are not illuminated, incompetent, negligence and delusion. 13 ॥"
13,14.0,यदा सत्त्वे प्रवृद्धे तु प्रलयं याति देहभृत् ।तदोत्तमविदां लोकानमलान्प्रतिपद्यते ॥ १४ ॥,"When the living entity is enlarged in the mode of goodness, the embodied soul attains the immaculate worlds of those who know the best of all knowledge.  ॥","When the living entity is enlarged in the mode of goodness, the embodied soul attains the immaculate worlds of those who know the best of all knowledge. 14 ॥"
14,15.0,रजसि प्रलयं गत्वा कर्मसङ्गिषु जायते ।तथा प्रलीनस्तमसि मूढयोनिषु जायते ॥ १५ ॥,When he goes to annihilation in the modes of nature he is born in the modes of material nature He is born in the wombs of fools when he is merged in darkness  ॥,When he goes to annihilation in the modes of nature he is born in the modes of material nature He is born in the wombs of fools when he is merged in darkness 15 ॥
15,16.0,कर्मण: सुकृतस्याहु: सात्त्विकं निर्मलं फलम् ।रजसस्तु फलं दु:खमज्ञानं तमस: फलम् ॥ १६ ॥,"They say that the fruits of good deeds are pure and pure, and the fruits of passion and ignorance are the fruits of ignorance.  ॥","They say that the fruits of good deeds are pure and pure, and the fruits of passion and ignorance are the fruits of ignorance. 16 ॥"
16,17.0,सत्त्वात्सञ्जायते ज्ञानं रजसो लोभ एव च ।प्रमादमोहौ तमसो भवतोऽज्ञानमेव च ॥ १७ ॥,"From the mode of goodness, knowledge arises from the modes of passion, from ignorance, delusion, delusion and ignorance. .","From the mode of goodness, knowledge arises from the modes of passion, from ignorance, delusion, delusion and ignorance. 17."
17,18.0,ऊर्ध्वं गच्छन्ति सत्त्वस्था मध्ये तिष्ठन्ति राजसा: ।जघन्यगुणवृत्तिस्था अधो गच्छन्ति तामसा: ॥ १८ ॥,"The modes of material nature, which are in the mode of goodness, remain in the mode of goodness and remain in the mode of goodness.  ॥","The modes of material nature, which are in the mode of goodness, remain in the mode of goodness and remain in the mode of goodness. 18 ॥"
18,19.0,नान्यं गुणेभ्य: कर्तारं यदा द्रष्टानुपश्यति ।गुणेभ्यश्च परं वेत्ति मद्भ‍ावं सोऽधिगच्छति ॥ १९ ॥,"When one sees no one else in the modes of material nature, one can understand Me as the Supreme Personality of Godhead. .","When one sees no one else in the modes of material nature, one can understand Me as the Supreme Personality of Godhead. 19."
19,20.0,गुणानेतानतीत्य त्रीन्देही देहसमुद्भ‍वान् ।जन्ममृत्युजरादु:खैर्विमुक्तोऽमृतमश्न‍ुते ॥ २० ॥,"After transcending these three modes of material nature, the body is freed from the pain of birth, death, old age and pain.  ॥","After transcending these three modes of material nature, the body is freed from the pain of birth, death, old age and pain. 20 ॥"
20,21.0,अर्जुन उवाचकैर्लिङ्गैस्त्रीन्गुणानेतानतीतो भवति प्रभो ।किमाचार: कथं चैतांस्त्रीन्गुणानतिवर्तते ॥ २१ ॥,"Arjuna said: O master, how can one be transformed by these three modes of nature?  ॥","Arjuna said: O master, how can one be transformed by these three modes of nature? 21 ॥"
21,22.0,श्रीभगवानुवाचप्रकाशं च प्रवृत्तिं च मोहमेव च पाण्डव ।न द्वेष्टि सम्प्रवृत्तानि न निवृत्तानि काङ्‍क्षति ॥ २२ ॥,"The Supreme Personality of Godhead said: O son of Pāṇḍu, the Supreme Personality of Godhead said: He does not hate the illusory energy, his instincts and delusions","The Supreme Personality of Godhead said: O son of Pāṇḍu, the Supreme Personality of Godhead said: He does not hate the illusory energy, his instincts and delusions. 22 He who is not moved by the modes of nature as if indifferent and indifferent and who is not disturbed by the modes of nature 23 The pleasures of pain are equally serious and steadfast in the same way as the symptoms of equality and condemnation are equally pleasing to him 24 He is equal to the equality of honor and dishonesty and is equal to both friends and enemies and renounces all beginnings 25."
22,23.0,उदासीनवदासीनो गुणैर्यो न विचाल्यते ।गुणा वर्तन्त इत्येवं योऽवतिष्ठति नेङ्गते ॥ २३ ॥,He who is not moved by the modes of nature as if indifferent and indifferent and who is not disturbed by the modes of nature,
23,24.0,समदु:खसुख: स्वस्थ: समलोष्टाश्मकाञ्चन: ।तुल्यप्रियाप्रियो धीरस्तुल्यनिन्दात्मसंस्तुति: ॥ २४ ॥,The pleasures of pain are equally serious and steadfast in the same way as the symptoms of equality and condemnation are equally pleasing to him,
24,25.0,मानापमानयोस्तुल्यस्तुल्यो मित्रारिपक्षयो: ।सर्वारम्भपरित्यागी गुणातीत: स उच्यते ॥ २५ ॥,He is equal to the equality of honor and dishonesty and is equal to both friends and enemies and renounces all beginnings,
25,26.0,मां च योऽव्यभिचारेण भक्तियोगेन सेवते ।स गुणान्समतीत्यैतान्ब्रह्मभूयाय कल्पते ॥ २६ ॥,Anyone who serves Me with devotion by devotional service and devotional service attains to these transcendental modes of material nature. .,Anyone who serves Me with devotion by devotional service and devotional service attains to these transcendental modes of material nature. 26.
26,27.0,ब्रह्मणो हि प्रतिष्ठाहममृतस्याव्ययस्य च ।शाश्वतस्य च धर्मस्य सुखस्यैकान्तिकस्य च ॥ २७ ॥,"I am the establishment of the Brahman, the immortal, the eternal, the eternal, the righteous, the happiness and the uniqueness.  ॥","I am the establishment of the Brahman, the immortal, the eternal, the eternal, the righteous, the happiness and the uniqueness. 27 ॥"
