,slokas_no,slokas,slokas_english(no numbers),slokas_english
17,18.0,कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः ।स बुद्धिमान्मनुष्येषु स युक्तः कृत्स्नकर्मकृत् ॥ १८ ॥,He who sees action in action and action in action is intelligent among men and is engaged in all actions.   ,He who sees action in action and action in action is intelligent among men and is engaged in all actions. 18  
18,19.0,यस्य सर्वे समारम्भाः कामसंकल्पवर्जिताः ।ज्ञानाग्निदग्धकर्माणं तमाहुः पण्डितं बुधाः ॥ १९ ॥,The wise say that all the undertakings are devoid of desire and resolutions of desire and whose actions are burnt by the fire of knowledge .,The wise say that all the undertakings are devoid of desire and resolutions of desire and whose actions are burnt by the fire of knowledge 19.
19,20.0,त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रयः ।कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति सः ॥ २० ॥,Having abandoned attachment to the fruits of his actions he is ever satisfied and without resort to his actions and does not perform anything even though he is engaged in action   ,Having abandoned attachment to the fruits of his actions he is ever satisfied and without resort to his actions and does not perform anything even though he is engaged in action 20  
20,21.0,निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रहः ।शारीरं केवलं कर्म कुर्वन्नाप्‍नोति किल्बिषम् ॥ २१ ॥,One who has given up all attachment to the body without hope and who has abandoned all his attachments to the body does not attain to sin alone   ,One who has given up all attachment to the body without hope and who has abandoned all his attachments to the body does not attain to sin alone 21  
21,22.0,यदृच्छालाभसंतुष्टो द्वन्द्वातीतो विमत्सरः ।समः सिद्धावसिद्धौ च कृत्वापि न निबध्यते ॥ २२ ॥,He is satisfied with the gain of chance and is transcended by duality and free from envy and is equal to perfection and incompleteness and is not bound by doing so.   ,He is satisfied with the gain of chance and is transcended by duality and free from envy and is equal to perfection and incompleteness and is not bound by doing so. 22  
22,23.0,गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतसः ।यज्ञायाचरतः कर्म समग्रं प्रविलीयते ॥ २३ ॥,A person who is free from attachment and whose mind is fixed on knowledge is dissolved in the entire body for the sacrifice.   ,A person who is free from attachment and whose mind is fixed on knowledge is dissolved in the entire body for the sacrifice. 23  
23,24.0,ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्न‍ौ ब्रह्मणा हुतम् ।ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना ॥ २४ ॥,"Brahma-arpana, Brahma-havi, Brahma-agna, Brahma, and Brahma are the same as the Brahma-karma-samadhi.   ","Brahma-arpana, Brahma-havi, Brahma-agna, Brahma, and Brahma are the same as the Brahma-karma-samadhi. 24  "
24,25.0,दैवमेवापरे यज्ञं योगिनः पर्युपासते ।ब्रह्माग्न‍ावपरे यज्ञं यज्ञेनैवोपजुह्वति ॥ २५ ॥,"Others worship the Supreme Personality of Godhead, the fire of the Supreme Personality of Godhead. .","Others worship the Supreme Personality of Godhead, the fire of the Supreme Personality of Godhead. 25."
25,26.0,श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्न‍िषु जुह्वति ।शब्दादीन्विषयानन्य इन्द्रियाग्न‍िषु जुह्वति ॥ २६ ॥,"Others, such as the senses of the senses, offer the senses to the senses, such as the senses of the senses, and the senses of sound, such as sound and other objects of the senses. .","Others, such as the senses of the senses, offer the senses to the senses, such as the senses of the senses, and the senses of sound, such as sound and other objects of the senses. 26."
26,27.0,सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे ।आत्मसंयमयोगाग्न‍ौ जुह्वति ज्ञानदीपिते ॥ २७ ॥,"Others, who are illuminated by the fire of self-control, offer all the activities of the senses, the activities of the life-force.   ","Others, who are illuminated by the fire of self-control, offer all the activities of the senses, the activities of the life-force. 27  "
27,28.0,द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे ।स्वाध्यायज्ञानयज्ञाश्च यतयः संशितव्रताः ॥ २८ ॥,"They performed sacrifices, austerities, sacrifices, yoga sacrifices, self-study, knowledge, knowledge and ascetics. .","They performed sacrifices, austerities, sacrifices, yoga sacrifices, self-study, knowledge, knowledge and ascetics. 28."
28,29.0,अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे ।प्राणापानगती रुद्ध्वा प्राणायामपरायणाः ।अपरे नियताहाराः प्राणान्प्राणेषु जुह्वति ॥ २९ ॥,"Others, who are devoted to the life-force, are engaged in breathing in the life-force, and others who are devoted to the life-force and who are devoted to the life-force and who are devoted to the life-force. .","Others, who are devoted to the life-force, are engaged in breathing in the life-force, and others who are devoted to the life-force and who are devoted to the life-force and who are devoted to the life-force. 29."
29,30.0,सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषाः ।यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम् ॥ ३० ॥,All these men who know sacrifices and who are purified of all sacrifices and who eat the remaining nectar of the sacrifice attain to the eternal Absolute Truth. .,All these men who know sacrifices and who are purified of all sacrifices and who eat the remaining nectar of the sacrifice attain to the eternal Absolute Truth. 30.
30,31.0,नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्यः कुरुसत्तम ॥ ३१ ॥,"O best of the Kurus, there is no other world for the sacrifice.   ","O best of the Kurus, there is no other world for the sacrifice. 31  "
31,32.0,एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे ।कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे ॥ ३२ ॥,"In this way, you will know that there are many kinds of sacrifices in the mouth of the Supreme Personality of Godhead, who are born in the mouth of the Supreme Personality of Godhead.   ","In this way, you will know that there are many kinds of sacrifices in the mouth of the Supreme Personality of Godhead, who are born in the mouth of the Supreme Personality of Godhead. 32  "
32,33.0,श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः परन्तप ।सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते ॥ ३३ ॥,"O son of the enemy, O Arjuna, all all my activities are completed in knowledge. .","O son of the enemy, O Arjuna, all all my activities are completed in knowledge. 33."
33,34.0,तद्विद्धि प्रणिपातेन परिप्रश्न‍ेन सेवया ।उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः ॥ ३४ ॥,Know that by bowing down to you by bowing down to you and by serving you they will teach you the knowledge of the truth and see the truth.   ,Know that by bowing down to you by bowing down to you and by serving you they will teach you the knowledge of the truth and see the truth. 34  
34,35.0,यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव ।येन भूतान्यशेषाणि द्रक्ष्यस्यात्मन्यथो मयि ॥ ३५ ॥,"O son of Pāṇḍu, by knowing this, you will never again be deluded by this way. .","O son of Pāṇḍu, by knowing this, you will never again be deluded by this way. 35."
35,36.0,अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः ।सर्वं ज्ञानप्ल‍वेनैव वृजिनं सन्तरिष्यसि ॥ ३६ ॥,If you are the most sinful of all sinners you will overcome all troubles by the flood of knowledge .,If you are the most sinful of all sinners you will overcome all troubles by the flood of knowledge 36.
36,37.0,यथैधांसि समिद्धोऽग्न‍िर्भस्मसात्कुरुतेऽर्जुन ।ज्ञानाग्न‍िः सर्वकर्माणि भस्मसात्कुरुते तथा ॥ ३७ ॥,O Arjuna the fire of knowledge is reduced to ashes in the same way that the fire of knowledge is burnt by the fire .,O Arjuna the fire of knowledge is reduced to ashes in the same way that the fire of knowledge is burnt by the fire 37.
37,38.0,न हि ज्ञानेन सदृशं पवित्रमिह विद्यते ।तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति ॥ ३८ ॥,There is nothing holy in this world like knowledge. The perfected one who is self-perfected by yoga attains to the Self in time. .,There is nothing holy in this world like knowledge. The perfected one who is self-perfected by yoga attains to the Self in time. 38.
38,39.0,श्रद्धावाँल्ल‍भते ज्ञानं तत्परः संयतेन्द्रियः ।ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति ॥ ३९ ॥,A person who has faith in faith and who has controlled his senses attains supreme peace and soon attains supreme peace .,A person who has faith in faith and who has controlled his senses attains supreme peace and soon attains supreme peace 39.
39,40.0,अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति ।नायं लोकोऽस्ति न परो न सुखं संशयात्मनः ॥ ४० ॥,The ignorant and the faithful are destroyed and the self is destroyed.   ,The ignorant and the faithful are destroyed and the self is destroyed. 40  
40,41.0,योगसन्न्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् ।आत्मवन्तं न कर्माणि निबध्न‍‍न्ति धनञ्जय ॥ ४१ ॥,"O Arjuna, O Arjuna, one who has renounced his actions and who has renounced his duties and who is undoubtedly self-controlled does not bind his own actions. .","O Arjuna, O Arjuna, one who has renounced his actions and who has renounced his duties and who is undoubtedly self-controlled does not bind his own actions. 41."
41,42.0,तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मनः ।छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत ॥ ४२ ॥,"Therefore, O descendant of Bharata, please practice yoga, which is the source of all knowledge, which is the source of all knowledge.   ","Therefore, O descendant of Bharata, please practice yoga, which is the source of all knowledge, which is the source of all knowledge. 42  "
