,slokas_no,slokas,slokas(no number),slokas_english
21,22.0,यत्तु कृत्स्नवदेकस्मिन्कार्ये सक्तमहैतुकम् ।अतत्त्वार्थवदल्पं च तत्तामसमुदाहृतम् ॥ २२ ॥,"Whatever is attached to the same work as a whole, and that it is a little as if it were not real in the same way, it is described as Tamasic.  ॥","Whatever is attached to the same work as a whole, and that it is a little as if it were not real in the same way, it is described as Tamasic. 22 ॥"
22,23.0,नियतं सङ्गरहितमरागद्वेषत: कृतम् ।अफलप्रेप्सुना कर्म यत्तत्सात्त्विकमुच्यते ॥ २३ ॥,A person who is free from attachment and hatred is free from attachment and hatred for a person who desires no rewards is called Sattvic.  ॥,A person who is free from attachment and hatred is free from attachment and hatred for a person who desires no rewards is called Sattvic. 23 ॥
23,24.0,यत्तु कामेप्सुना कर्म साहङ्कारेण वा पुन: ।क्रियते बहुलायासं तद्राजसमुदाहृतम् ॥ २४ ॥,Whatever action is performed by a person who desires lust or by egoism is repeatedly described as the king’s body.  ॥,Whatever action is performed by a person who desires lust or by egoism is repeatedly described as the king’s body. 24 ॥
24,25.0,अनुबन्धं क्षयं हिंसामनपेक्ष्य च पौरुषम् ।मोहादारभ्यते कर्म यत्तत्तामसमुच्यते ॥ २५ ॥,"The action of deludedness, decay, violence and manliness is called tamas. .","The action of deludedness, decay, violence and manliness is called tamas. 25."
25,26.0,मुक्तसङ्गोऽनहंवादी धृत्युत्साहसमन्वित: ।सिद्ध्यसिद्ध्योर्निर्विकार: कर्ता सात्त्विक उच्यते ॥ २६ ॥,A person who is free from attachment and enthusiasm is free from attachment and enthusiasm. .,A person who is free from attachment and enthusiasm is free from attachment and enthusiasm. 26.
26,27.0,रागी कर्मफलप्रेप्सुर्लुब्धो हिंसात्मकोऽश‍ुचि: ।हर्षशोकान्वित: कर्ता राजस: परिकीर्तित: ॥ २७ ॥,"The devotee, who is greedy for the fruits of his activities, is greedy for violent and unclean.  ॥","The devotee, who is greedy for the fruits of his activities, is greedy for violent and unclean. 27 ॥"
27,28.0,अयुक्त: प्राकृत: स्तब्ध: शठो नैष्कृतिकोऽलस: ।विषादी दीर्घसूत्री च कर्ता तामस उच्यते ॥ २८ ॥,"The unjustified, natural, stunned, deceitful, lazy, depressed and long-suffering agents are called Tamas. .","The unjustified, natural, stunned, deceitful, lazy, depressed and long-suffering agents are called Tamas. 28."
28,29.0,बुद्धेर्भेदं धृतेश्चैव गुणतस्त्रिविधं श‍ृणु ।प्रोच्यमानमशेषेण पृथक्त्वेन धनञ्जय ॥ २९ ॥,"O Arjuna, O Arjuna, please hear about the threefold differences between intelligence and the modes of nature. .","O Arjuna, O Arjuna, please hear about the threefold differences between intelligence and the modes of nature. 29."
29,30.0,प्रवृत्तिं च निवृत्तिं च कार्याकार्ये भयाभये ।बन्धं मोक्षं च या वेत्ति बुद्धि: सा पार्थ सात्त्विकी ॥ ३० ॥,"The intellect which knows that instinct and renunciation is in action, in action, in fear and in fear. .","The intellect which knows that instinct and renunciation is in action, in action, in fear and in fear. 30."
30,31.0,यया धर्ममधर्मं च कार्यं चाकार्यमेव च ।अयथावत्प्रजानाति बुद्धि: सा पार्थ राजसी ॥ ३१ ॥,That intelligence which perceives religious principles and irreligion and activity and acts in unrighteousness is Rajasic  ॥,That intelligence which perceives religious principles and irreligion and activity and acts in unrighteousness is Rajasic 31 ॥
31,32.0,अधर्मं धर्ममिति या मन्यते तमसावृता ।सर्वार्थान्विपरीतांश्च बुद्धि: सा पार्थ तामसी ॥ ३२ ॥,That intelligence which thinks that irreligion thinks that it is religious and is enveloped in darkness and that is the opposite of all things  ॥,That intelligence which thinks that irreligion thinks that it is religious and is enveloped in darkness and that is the opposite of all things 32 ॥
32,33.0,धृत्या यया धारयते मन:प्राणेन्द्रियक्रिया: ।योगेनाव्यभिचारिण्या धृति: सा पार्थ सात्त्विकी ॥ ३३ ॥,"By the patience of the mind, the mind, the life force, the senses, the cessation of yoga, O son of Pṛthā, are the modes of material nature. .","By the patience of the mind, the mind, the life force, the senses, the cessation of yoga, O son of Pṛthā, are the modes of material nature. 33."
33,34.0,यया तु धर्मकामार्थान्धृत्या धारयतेऽर्जुन ।प्रसङ्गेन फलाकाङ्क्षी धृति: सा पार्थ राजसी ॥ ३४ ॥,"O Arjuna, by which one who holds the path of religious principles and desires by patience in this regard is Rajasic for patience for the sake of rewards.  ॥","O Arjuna, by which one who holds the path of religious principles and desires by patience in this regard is Rajasic for patience for the sake of rewards. 34 ॥"
34,35.0,यया स्वप्‍नं भयं शोकं विषादं मदमेव च ।न विमुञ्चति दुर्मेधा धृति: सा पार्थ तामसी ॥ ३५ ॥,"O son of Pṛthā, that patience which does not give up dreams, fear, sorrow, depression and intoxication. .","O son of Pṛthā, that patience which does not give up dreams, fear, sorrow, depression and intoxication. 35."
35,36.0,सुखं त्विदानीं त्रिविधं श‍ृणु मे भरतर्षभ ।अभ्यासाद्रमते यत्र दु:खान्तं च निगच्छति ॥ ३६ ॥,"O best of the Bharatas, please hear from me about the happiness of the three worlds, and now the practice of practicing is enjoying the end of the world. .","O best of the Bharatas, please hear from me about the happiness of the three worlds, and now the practice of practicing is enjoying the end of the world. 36."
36,37.0,यत्तदग्रे विषमिव परिणामेऽमृतोपमम् ।तत्सुखं सात्त्विकं प्रोक्तमात्मबुद्धिप्रसादजम् ॥ ३७ ॥,"That which is like poison in the past is like nectar in the past, and that happiness is described in the mode of goodness, which is born of the grace of the self-intelligence. .","That which is like poison in the past is like nectar in the past, and that happiness is described in the mode of goodness, which is born of the grace of the self-intelligence. 37."
37,38.0,विषयेन्द्रियसंयोगाद्यत्तदग्रेऽमृतोपमम् ।परिणामे विषमिव तत्सुखं राजसं स्मृतम् ॥ ३८ ॥,"The union of the senses of objects is like nectar in the foreground, just as poison is like poison. .","The union of the senses of objects is like nectar in the foreground, just as poison is like poison. 38."
38,39.0,यदग्रे चानुबन्धे च सुखं मोहनमात्मन: ।निद्रालस्यप्रमादोत्थं तत्तामसमुदाहृतम् ॥ ३९ ॥,"The happiness of the self, which is the source of all happiness, which is deluded by the self-realized soul, is described in the mode of ignorance. .","The happiness of the self, which is the source of all happiness, which is deluded by the self-realized soul, is described in the mode of ignorance. 39."
39,40.0,न तदस्ति पृथिव्यां वा दिवि देवेषु वा पुन: ।सत्त्वं प्रकृतिजैर्मुक्तं यदेभि: स्यात्‍त्रिभिर्गुणै: ॥ ४० ॥,"There is no such thing on earth or in heaven or among the demigods. Therefore, the Supreme Personality of Godhead is freed from the three modes of material nature.  ॥","There is no such thing on earth or in heaven or among the demigods. Therefore, the Supreme Personality of Godhead is freed from the three modes of material nature. 40 ॥"
40,41.0,ब्राह्मणक्षत्रियविशां श‍ूद्राणां च परन्तप ।कर्माणि प्रविभक्तानि स्वभावप्रभवैर्गुणै: ॥ ४१ ॥,"O lord of the enemies of the enemy of the enemy of the enemies of the universe, the Supreme Personality of Godhead, who is the source of all living entities, is the source of all living entities. .","O lord of the enemies of the enemy of the enemy of the enemies of the universe, the Supreme Personality of Godhead, who is the source of all living entities, is the source of all living entities. 41."
41,42.0,शमो दमस्तप: शौचं क्षान्तिरार्जवमेव च ।ज्ञानं विज्ञानमास्तिक्यं ब्रह्मकर्म स्वभावजम् ॥ ४२ ॥,"Relief, self-control, self-control, purity, forbearance, simplicity, knowledge, realization, atheism, ceremonial activities and nature.  ॥","Relief, self-control, self-control, purity, forbearance, simplicity, knowledge, realization, atheism, ceremonial activities and nature. 42 ॥"
42,43.0,शौर्यं तेजो धृतिर्दाक्ष्यं युद्धे चाप्यपलायनम् ।दानमीश्वरभावश्च क्षात्रं कर्म स्वभावजम् ॥ ४३ ॥,"Valour, splendor, patience, dexterity, escape in battle, charity, alms and kṣatriyas are the kṣatriyas of their own nature. .","Valour, splendor, patience, dexterity, escape in battle, charity, alms and kṣatriyas are the kṣatriyas of their own nature. 43."
43,44.0,कृषिगोरक्ष्यवाणिज्यं वैश्यकर्म स्वभावजम् ।परिचर्यात्मकं कर्म श‍ूद्रस्यापि स्वभावजम् ॥ ४४ ॥,"Agricultural, cattle, trade, trade, vaiśya and vaiśya are the same as those of the śūdras, which are the same as those of a śūdra.  ॥","Agricultural, cattle, trade, trade, vaiśya and vaiśya are the same as those of the śūdras, which are the same as those of a śūdra. 44 ॥"
44,45.0,स्वे स्वे कर्मण्यभिरत: संसिद्धिं लभते नरस्वकर्मनिरत: सिद्धिं यथा विन्दति तच्‍छृणु ॥ ४५ ॥,One who is engaged in his own activities and who is engaged in his own activities attains perfection in his own activities. Hear how he attains perfection. .,One who is engaged in his own activities and who is engaged in his own activities attains perfection in his own activities. Hear how he attains perfection. 45.
45,46.0,यत: प्रवृत्तिर्भूतानां येन सर्वमिदं ततम् ।स्वकर्मणा तमभ्यर्च्य सिद्धिं विन्दति मानव: ॥ ४६ ॥,"By worshiping the Supreme Personality of Godhead, one attains perfection by His own activities. By His own activities, one attains perfection. .","By worshiping the Supreme Personality of Godhead, one attains perfection by His own activities. By His own activities, one attains perfection. 46."
46,47.0,श्रेयान्स्वधर्मो विगुण: परधर्मात्स्वनुष्ठितात् ।स्वभावनियतं कर्म कुर्वन्नाप्‍नोति किल्बिषम् ॥ ४७ ॥,One who is free from the modes of material nature and who is self-realized by one’s own religious practices should not perform any sinful activities for one’s own nature. .,One who is free from the modes of material nature and who is self-realized by one’s own religious practices should not perform any sinful activities for one’s own nature. 47.
47,48.0,सहजं कर्म कौन्तेय सदोषमपि न त्यजेत् ।सर्वारम्भा हि दोषेण धूमेनाग्न‍िरिवावृता: ॥ ४८ ॥,"O son of Kunti, one should not abandon the easy activity, even if it is innocent, for all beginnings are covered with faults, just as fire is covered with smoke.  ॥","O son of Kunti, one should not abandon the easy activity, even if it is innocent, for all beginnings are covered with faults, just as fire is covered with smoke. 48 ॥"
48,49.0,असक्तबुद्धि: सर्वत्र जितात्मा विगतस्पृह: ।नैष्कर्म्यसिद्धिं परमां सन्न्यासेनाधिगच्छति ॥ ४९ ॥,A person who is unattached to the mind and has conquered all desires and who is free from desire and who is free from desire attains supreme perfection by renunciation. .,A person who is unattached to the mind and has conquered all desires and who is free from desire and who is free from desire attains supreme perfection by renunciation. 49.
49,50.0,सिद्धिं प्राप्‍तो यथा ब्रह्म तथाप्‍नोति निबोध मे ।समासेनैव कौन्तेय निष्ठा ज्ञानस्य या परा ॥ ५० ॥,"O son of Kunti, O son of Kunti, please hear from me in brief how the Supreme Absolute Truth has attained perfection.  ॥","O son of Kunti, O son of Kunti, please hear from me in brief how the Supreme Absolute Truth has attained perfection. 50 ॥"
50,51.0,बुद्ध्या विश‍ुद्धया युक्तो धृत्यात्मानं नियम्य च ।शब्दादीन्विषयांस्त्यक्त्वा रागद्वेषौ व्युदस्य च ॥ ५१ ॥,Endowed with intelligence and intelligence he controlled his own self and renounces the objects such as sound and other objects of passion and hatred,"Endowed with intelligence and intelligence he controlled his own self and renounces the objects such as sound and other objects of passion and hatred 51 He who serves a secluded person with a lightwishes, who is always engaged in meditation, meditation, yoga, meditation and yoga, resorting to detachment. 52 He who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism 53 ॥"
51,52.0,विविक्तसेवी लघ्वाशी यतवाक्कायमानस: ।ध्यानयोगपरो नित्यं वैराग्यं समुपाश्रित: ॥ ५२ ॥,"He who serves a secluded person with a lightwishes, who is always engaged in meditation, meditation, yoga, meditation and yoga, resorting to detachment.",
52,53.0,अहङ्कारं बलं दर्पं कामं क्रोधं परिग्रहम् ।विमुच्य निर्मम: शान्तो ब्रह्मभूयाय कल्पते ॥ ५३ ॥,He who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism and who is free from egoism,
53,54.0,ब्रह्मभूत: प्रसन्नात्मा न शोचति न काङ्क्षति ।सम: सर्वेषु भूतेषु मद्भ‍‍क्तिं लभते पराम् ॥ ५४ ॥,"The Supreme Personality of Godhead, who has become aware of the Absolute Truth, does not grieve or desire any desire for all living entities in all living entities. .","The Supreme Personality of Godhead, who has become aware of the Absolute Truth, does not grieve or desire any desire for all living entities in all living entities. 54."
54,55.0,भक्त्य‍ा मामभिजानाति यावान्यश्चास्मि तत्त्वत: ।ततो मां तत्त्वतो ज्ञात्वा विशते तदनन्तरम् ॥ ५५ ॥,By devotional service I realize Me with devotion as there is no one else in truth and then realizes Me in truth .,By devotional service I realize Me with devotion as there is no one else in truth and then realizes Me in truth 55.
55,56.0,सर्वकर्माण्यपि सदा कुर्वाणो मद्‍व्यपाश्रय: ।मत्प्रसादादवाप्‍नोति शाश्वतं पदमव्ययम् ॥ ५६ ॥,By My grace one who always performs all his duties and rely on Me attains eternal eternal abode  ॥,By My grace one who always performs all his duties and rely on Me attains eternal eternal abode 56 ॥
56,57.0,चेतसा सर्वकर्माणि मयि सन्न्यस्य मत्पर: ।बुद्धियोगमुपाश्रित्य मच्च‍ित्त: सततं भव ॥ ५७ ॥,"By resigning all my activities in Me with consciousness, one should rely on Me and rely on Me, and one should always rely on Me.  ॥","By resigning all my activities in Me with consciousness, one should rely on Me and rely on Me, and one should always rely on Me. 57 ॥"
57,58.0,मच्च‍ित्त: सर्वदुर्गाणि मत्प्रसादात्तरिष्यसि ।अथ चेत्त्वमहङ्कारान्न श्रोष्यसि विनङ्‍क्ष्यसि ॥ ५८ ॥,"By My grace you will cross all thetresses of Me. If you do not hear of the ego, you will not be destroyed.  ॥","By My grace you will cross all thetresses of Me. If you do not hear of the ego, you will not be destroyed. 58 ॥"
58,59.0,यदहङ्कारमाश्रित्य न योत्स्य इति मन्यसे ।मिथ्यैष व्यवसायस्ते प्रकृतिस्त्वां नियोक्ष्यति ॥ ५९ ॥,"You will think that you will not fight with the ego that you will not fight. This is a liar, and your nature will engage you in a false way.  ॥","You will think that you will not fight with the ego that you will not fight. This is a liar, and your nature will engage you in a false way. 59 ॥"
59,60.0,स्वभावजेन कौन्तेय निबद्ध: स्वेन कर्मणा ।कर्तुं नेच्छसि यन्मोहात्करिष्यस्यवशोऽपि तत् ॥ ६० ॥,"O son of Kunti, you are bound by your own nature by your own nature, and you do not wish to do it because of your delusion, even if you are under your control. .","O son of Kunti, you are bound by your own nature by your own nature, and you do not wish to do it because of your delusion, even if you are under your control. 60."
60,61.0,ईश्वर: सर्वभूतानां हृद्देशेऽर्जुन तिष्ठति ।भ्रामयन्सर्वभूतानि यन्‍त्रारूढानि मायया ॥ ६१ ॥,"O Arjuna, the Supreme Personality of Godhead, the Supreme Personality of Godhead, resides in the hearts of all living entities.  ॥","O Arjuna, the Supreme Personality of Godhead, the Supreme Personality of Godhead, resides in the hearts of all living entities. 61 ॥"
61,62.0,तमेव शरणं गच्छ सर्वभावेन भारत ।तत्प्रसादात्परां शान्तिं स्थानं प्राप्स्यसि शाश्वतम् ॥ ६२ ॥,O descendant of Bharata take shelter of Him alone by His grace You will attain to the eternal abode of supreme peace .,O descendant of Bharata take shelter of Him alone by His grace You will attain to the eternal abode of supreme peace 62.
62,63.0,इति ते ज्ञानमाख्यातं गुह्याद्‍‍गुह्यतरं मया ।विमृश्यैतदशेषेण यथेच्छसि तथा कुरु ॥ ६३ ॥,I have thus described to you the most secret of the secrets and contemplating this in detail as you wish. .,I have thus described to you the most secret of the secrets and contemplating this in detail as you wish. 63.
63,64.0,सर्वगुह्यतमं भूय: श‍ृणु मे परमं वच: ।इष्टोऽसि मे दृढमिति ततो वक्ष्यामि ते हितम् ॥ ६४ ॥,I shall now explain to you the most secret of all mysterious words. Please hear my supreme words.  ॥,I shall now explain to you the most secret of all mysterious words. Please hear my supreme words. 64 ॥
64,65.0,मन्मना भव मद्भ‍क्तो मद्याजी मां नमस्कुरु ।मामेवैष्यसि सत्यं ते प्रतिजाने प्रियोऽसि मे ॥ ६५ ॥,Be my mind and be devoted to Me. Please offer my obeisances to Me. You will come to Me. You will be dear to Me. You are dear to Me. .,Be my mind and be devoted to Me. Please offer my obeisances to Me. You will come to Me. You will be dear to Me. You are dear to Me. 65.
65,66.0,सर्वधर्मान्परित्यज्य मामेकं शरणं व्रज ।अहं त्वां सर्वपापेभ्यो मोक्षयिष्यामि मा श‍ुच: ॥ ६६ ॥,Having abandoned all religious principles and take refuge in Me alone I shall deliver You from all sins .,Having abandoned all religious principles and take refuge in Me alone I shall deliver You from all sins 66.
66,67.0,इदं ते नातपस्काय नाभक्ताय कदाचन ।न चाश‍ुश्रूषवे वाच्यं न च मां योऽभ्यसूयति ॥ ६७ ॥,"This is never to be said to you for your austerities or to the devotee, nor to listen to me, nor to speak to you, nor to anyone who is envious of me. .","This is never to be said to you for your austerities or to the devotee, nor to listen to me, nor to speak to you, nor to anyone who is envious of me. 67."
67,68.0,य इदं परमं गुह्यं मद्भ‍क्तेष्वभिधास्यति ।भक्तिं मयि परां कृत्वा मामेवैष्यत्यसंशय: ॥ ६८ ॥,Anyone who will undoubtedly attain this supreme secret of My devotees will undoubtedly come to Me.  ॥,Anyone who will undoubtedly attain this supreme secret of My devotees will undoubtedly come to Me. 68 ॥
68,69.0,न च तस्मान्मनुष्येषु कश्चिन्मे प्रियकृत्तम: ।भविता न च मे तस्मादन्य: प्रियतरो भुवि ॥ ६९ ॥,"There is none of Me in human beings more dear to Me than that of Me, and no one else will be dearer to Me than he on earth. .","There is none of Me in human beings more dear to Me than that of Me, and no one else will be dearer to Me than he on earth. 69."
69,70.0,अध्येष्यते च य इमं धर्म्यं संवादमावयो: ।ज्ञानयज्ञेन तेनाहमिष्ट: स्यामिति मे मति: ॥ ७० ॥,I think that the sacrifice of knowledge will be studied by the sacrifice of knowledge.  ॥,I think that the sacrifice of knowledge will be studied by the sacrifice of knowledge. 70 ॥
70,71.0,श्रद्धावाननसूयश्च श‍ृणुयादपि यो नर: ।सोऽपि मुक्त: शुभाँल्ल‍ोकान्प्राप्‍नुयात्पुण्यकर्मणाम् ॥ ७१ ॥,Anyone who hears this mantra with faith and envys and who hears this mantra will be freed from all auspicious deeds.  ॥,Anyone who hears this mantra with faith and envys and who hears this mantra will be freed from all auspicious deeds. 71 ॥
71,72.0,कच्च‍िदेतच्छ्रुतं पार्थ त्वयैकाग्रेण चेतसा ।कच्च‍िदज्ञानसम्मोह: प्रणष्टस्ते धनञ्जय ॥ ७२ ॥,"O Arjuna, O Arjuna, I have heard this with your mind alone with one mind. O Arjuna, have you lost my delusion of ignorance? .","O Arjuna, O Arjuna, I have heard this with your mind alone with one mind. O Arjuna, have you lost my delusion of ignorance? 72."
72,73.0,नष्टो मोह: स्मृतिर्लब्धा त्वत्प्रसादान्मयाच्युत ।स्थितोऽस्मि गतसन्देह: करिष्ये वचनं तव ॥ ७३ ॥,"O infallible one, by Your grace I have lost my delusion and remembrance. I have remained in my presence. .","O infallible one, by Your grace I have lost my delusion and remembrance. I have remained in my presence. 73."
73,74.0,इत्यहं वासुदेवस्य पार्थस्य च महात्मन: ।संवादमिममश्रौषमद्भुतं रोमहर्षणम् ॥ ७४ ॥,Thus I heard this wonderful conversation between Lord Vāsudeva and Arjuna.  ॥,Thus I heard this wonderful conversation between Lord Vāsudeva and Arjuna. 74 ॥
74,75.0,व्यासप्रसादाच्छ्रुतवानेतद्‍गुह्यमहं परम् ।योगं योगेश्वरात्कृष्णात्साक्षात्कथयत: स्वयम् ॥ ७५ ॥,"By the grace of Vyāsa, I have heard this supreme secret of mystic yoga, the Lord of all mystics, Lord Kṛṣṇa, directly described.  ॥","By the grace of Vyāsa, I have heard this supreme secret of mystic yoga, the Lord of all mystics, Lord Kṛṣṇa, directly described. 75 ॥"
75,76.0,राजन्संस्मृत्य संस्मृत्य संवादमिममद्भुतम् ।केशवार्जुनयो: पुण्यं हृष्यामि च मुहुर्मुहु: ॥ ७६ ॥,"O King, I remember this wonderful conversation between Lord Keśava and Arjuna.  ॥","O King, I remember this wonderful conversation between Lord Keśava and Arjuna. 76 ॥"
