,slokas_no,slokas,slokas_english(no numbers),slokas_english
11,12.0,इष्टान्भोगान्हि वो देवा दास्यन्ते यज्ञभाविताः ।तैर्दत्तानप्रदायैभ्यो यो भुङ्क्ते स्तेन एव सः ॥ १२ ॥,He who enjoys the pleasures of the demigods will give you the pleasures he desires for those who are devoted to the sacrifice and who enjoys what they have given them   ,He who enjoys the pleasures of the demigods will give you the pleasures he desires for those who are devoted to the sacrifice and who enjoys what they have given them 12  
12,13.0,यज्ञशिष्टाशिनः सन्तो मुच्यन्ते सर्वकिल्बिषै ।भुञ्जते ते त्वघं पापा ये पचन्त्यात्मकारणात् ॥ १३ ॥,Those who eat the remains of the sacrifice are freed from all sins and enjoy the sins of the sinners who cook for their own sake   ,Those who eat the remains of the sacrifice are freed from all sins and enjoy the sins of the sinners who cook for their own sake 13  
13,14.0,अन्नाद्भ‍वन्ति भूतानि पर्जन्यादन्नसम्भवः ।यज्ञा‍द्भ‍‍वति पर्जन्यो यज्ञः कर्मसमुद्भ‍वः ॥ १४ ॥,"From food comes all living entities and from the rain comes food. From the sacrifice, the rain is the source of all activities.   ","From food comes all living entities and from the rain comes food. From the sacrifice, the rain is the source of all activities. 14  "
14,15.0,कर्म ब्रह्मोद्भ‍वं विद्धि ब्रह्माक्षरसमुद्भ‍वम् ।तस्मात्सर्वगतं ब्रह्म नित्यं यज्ञे प्रतिष्ठितम् ॥ १५ ॥,Know that action is the source of the Absolute Truth and is the source of all knowledge.   ,Know that action is the source of the Absolute Truth and is the source of all knowledge. 15  
15,16.0,एवं प्रवर्तितं चक्रं नानुवर्तयतीह यः ।अघायुरिन्द्रियारामो मोघं पार्थ स जीवति ॥ १६ ॥,"O son of Pṛthā, whoever does not follow the wheel in this world in this world, O son of Pṛthā, will live in vain and enjoy the senses.   ","O son of Pṛthā, whoever does not follow the wheel in this world in this world, O son of Pṛthā, will live in vain and enjoy the senses. 16  "
16,17.0,यस्त्वात्मरतिरेव स्यादात्मतृप्त‍श्च मानवः ।आत्मन्येव च सन्तुष्टस्तस्य कार्यं न विद्यते ॥ १७ ॥,A human being who is satisfied with himself and who is satisfied with himself has no need of his duties .,A human being who is satisfied with himself and who is satisfied with himself has no need of his duties 17.
17,18.0,नैव तस्य कृतेनार्थो नाकृतेनेह कश्चन ।न चास्य सर्वभूतेषु कश्चिदर्थव्यपाश्रयः ॥ १८ ॥,There is no need for him in this world and no one in all living beings in this world   ,There is no need for him in this world and no one in all living beings in this world 18  
18,19.0,तस्मादसक्तः सततं कार्यं कर्म समाचर ।असक्तो ह्याचरन्कर्म परमाप्‍नोति पूरूषः ॥ १९ ॥,"Therefore, a person who is not attached to it should always perform his duties and perform his duties. .","Therefore, a person who is not attached to it should always perform his duties and perform his duties. 19."
19,20.0,कर्मणैव हि संसिद्धिमास्थिता जनकादयः ।लोकसङ्ग्रहमेवापि सम्पश्यन्कर्तुमर्हसि ॥ २० ॥,Janaka and others who have attained perfection by their actions are the only ones who have attained perfection even when they see even the collection of the worlds   ,Janaka and others who have attained perfection by their actions are the only ones who have attained perfection even when they see even the collection of the worlds 20  
20,21.0,यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः ।स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते ॥ २१ ॥,Whatever the best person performs is the same as that of others.   ,Whatever the best person performs is the same as that of others. 21  
21,22.0,न मे पार्थास्ति कर्तव्यं त्रिषु लोकेषु किञ्चन ।नानवाप्त‍मवाप्त‍व्यं वर्त एव च कर्मणि ॥ २२ ॥,"I have nothing to do in the three worlds, O son of Pṛthā.   ","I have nothing to do in the three worlds, O son of Pṛthā. 22  "
22,23.0,यदि ह्यहं न वर्तेयं जातु कर्मण्यतन्द्रितः ।मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ॥ २३ ॥,"If I am never lazy in my actions, O son of Pṛthā, I am never lazy in my actions, O son of Pṛthā, in every way.   ","If I am never lazy in my actions, O son of Pṛthā, I am never lazy in my actions, O son of Pṛthā, in every way. 23  "
23,24.0,उत्सीदेयुरिमे लोका न कुर्यां कर्म चेदहम् ।सङ्करस्य च कर्ता स्यामुपहन्यामिमाः प्रजाः ॥ २४ ॥,"If I do not perform any activity of these living entities, I shall destroy these living entities. I shall destroy these living beings.   ","If I do not perform any activity of these living entities, I shall destroy these living entities. I shall destroy these living beings. 24  "
24,25.0,सक्ताः कर्मण्यविद्वांसो यथा कुर्वन्ति भारत ।कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसङ्‍‍ग्रहम् ॥ २५ ॥,"O descendant of Bharata who are attached to the activities of the Supreme Personality of Godhead, who is not attached to the activities of the demigods, one should perform the rituals of acquiring the planetary activities of the Lord. .","O descendant of Bharata who are attached to the activities of the Supreme Personality of Godhead, who is not attached to the activities of the demigods, one should perform the rituals of acquiring the planetary activities of the Lord. 25."
25,26.0,न बुद्धिभेदं जनयेदज्ञानां कर्मसङ्गिनाम् ।जोषयेत्सर्वकर्माणि विद्वान्युक्तः समाचरन् ॥ २६ ॥,A learned person should not cause differences in intelligence to those who are ignorant and associated with actions .,A learned person should not cause differences in intelligence to those who are ignorant and associated with actions 26.
26,27.0,प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः ।अहङ्कारविमूढात्मा कर्ताहमिति मन्यते ॥ २७ ॥,The modes of nature of the modes of nature performed by the modes of nature performed by the modes of nature are confused by the ego of egoism   ,The modes of nature of the modes of nature performed by the modes of nature performed by the modes of nature are confused by the ego of egoism 27  
27,28.0,तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः ।गुणा गुणेषु वर्तन्त इति मत्वा न सज्ज‍ते ॥ २८ ॥,"O mighty-armed one, the knowledge of the Absolute Truth is not prepared to think that the modes of nature are present in the modes of nature. .","O mighty-armed one, the knowledge of the Absolute Truth is not prepared to think that the modes of nature are present in the modes of nature. 28."
28,29.0,प्रकृतेर्गुणसम्मूढाः सज्ज‍न्ते गुणकर्मसु ।तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत् ॥ २९ ॥,"Those who are deluded by the modes of nature of nature are attached to the modes of nature, and those who know the whole of the Vedas should not move about in the whole world. .","Those who are deluded by the modes of nature of nature are attached to the modes of nature, and those who know the whole of the Vedas should not move about in the whole world. 29."
29,30.0,मयि सर्वाणि कर्माणि सन्न्यस्याध्यात्मचेतसा ।निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः ॥ ३० ॥,"Having renounced all my activities in Me with the mind of the spiritual master, you should fight without any disraction and free from attachment and fever. .","Having renounced all my activities in Me with the mind of the spiritual master, you should fight without any disraction and free from attachment and fever. 30."
30,31.0,ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः ।श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः ॥ ३१ ॥,Those human beings who always follow this opinion of Me are also freed from their faith and are not jealous of them.   ,Those human beings who always follow this opinion of Me are also freed from their faith and are not jealous of them. 31  
31,32.0,ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम् ।सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः ॥ ३२ ॥,Those who are jealous of this do not follow My opinion and know that they are deluded by all knowledge   ,Those who are jealous of this do not follow My opinion and know that they are deluded by all knowledge 32  
32,33.0,सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि ।प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति ॥ ३३ ॥,Even though he is aware of his own nature he acts like a person who is aware of his own nature He goes to nature what will he do to restrain his nature .,Even though he is aware of his own nature he acts like a person who is aware of his own nature He goes to nature what will he do to restrain his nature 33.
33,34.0,इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ ।तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ ॥ ३४ ॥,"The two senses of passion and hatred are established in the sense of the senses, and the two are obstructed by the senses.   ","The two senses of passion and hatred are established in the sense of the senses, and the two are obstructed by the senses. 34  "
34,35.0,श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात् ।स्वधर्मे निधनं श्रेयः परधर्मो भयावहः ॥ ३५ ॥,It is better for one’s own religion to be free from the customs of others than the duty of others. .,It is better for one’s own religion to be free from the customs of others than the duty of others. 35.
35,36.0,अर्जुन उवाचअथ केन प्रयुक्तोऽयं पापं चरति पूरुषः ।अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः ॥ ३६ ॥,"Arjuna said: Then by whom this sinful man is committed by him, even though he does not wish to do so, O Vārṣṇa, as if he were engaged in force. .","Arjuna said: Then by whom this sinful man is committed by him, even though he does not wish to do so, O Vārṣṇa, as if he were engaged in force. 36."
36,37.0,श्री भगवानुवाचकाम एष क्रोध एष रजोगुणसमुद्भ‍वः ।महाशनो महापाप्मा विद्ध्येनमिह वैरिणम् ॥ ३७ ॥,"The Supreme Personality of Godhead, the Supreme Personality of Godhead, said: This anger, which is the source of all passion, is the source of all the modes of passion. .","The Supreme Personality of Godhead, the Supreme Personality of Godhead, said: This anger, which is the source of all passion, is the source of all the modes of passion. 37."
37,38.0,धूमेनाव्रियते वह्निर्यथादर्शो मलेन च ।यथोल्बेनावृतो गर्भस्तथा तेनेदमावृत्तम् ॥ ३८ ॥,"Just as a fire is covered with smoke as a mirror is covered with dirt, so the embryo is covered by the floor. .","Just as a fire is covered with smoke as a mirror is covered with dirt, so the embryo is covered by the floor. 38."
38,39.0,आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा ।कामरूपेण कौन्तेय दुष्पूरेणानलेन च ॥ ३९ ॥,O son of Kunti O son of Kunti you are always enveloped in knowledge by this knowledge of the Supreme Personality of Godhead by this knowledge of the Supreme Personality of Godhead .,O son of Kunti O son of Kunti you are always enveloped in knowledge by this knowledge of the Supreme Personality of Godhead by this knowledge of the Supreme Personality of Godhead 39.
39,40.0,इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते ।एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम् ॥ ४० ॥,"The senses, the mind, the intellect and the position of the body are called the embodiment of knowledge.   ","The senses, the mind, the intellect and the position of the body are called the embodiment of knowledge. 40  "
40,41.0,तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ ।पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् ॥ ४१ ॥,"O best of the Bhāratas, please control this material world by controlling the senses. Please destroy this knowledge of knowledge. .","O best of the Bhāratas, please control this material world by controlling the senses. Please destroy this knowledge of knowledge. 41."
41,42.0,इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः ।मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः ॥ ४२ ॥,They say that the senses are superior to the senses and the mind is superior to the senses. The mind is the supreme intelligence which is beyond the intellect.   ,They say that the senses are superior to the senses and the mind is superior to the senses. The mind is the supreme intelligence which is beyond the intellect. 42  
42,43.0,एवं बुद्धेः परं बुद्ध्वा संस्तभ्यात्मानमात्मना ।जहि शत्रुं महाबाहो कामरूपं दुरासदम् ॥ ४३ ॥,"O mighty-armed one, having thus understood the supreme intelligence of your intellect, you must kill your enemy in the form of lust. .","O mighty-armed one, having thus understood the supreme intelligence of your intellect, you must kill your enemy in the form of lust. 43."
