,slokas_no,slokas,slokas_english(no numbers),slokas_english
10,11.0,श‍ुचौ देशे प्रतिष्ठाप्य स्थिरमासनमात्मन: ।नात्युच्छ्रितं नातिनीचं चैलाजिनकुशोत्तरम् ॥ ११ ॥,"After placing a steady seat in a clean place, the body was not very high, nor was it too low, nor was it too low.","After placing a steady seat in a clean place, the body was not very high, nor was it too low, nor was it too low. One should sit on the seat of the Supreme Personality of Godhead and practice yoga with one’s mind fixed on the Supreme Personality of Godhead. 12  "
11,12.0,तत्रैकाग्रं मन: कृत्वा यतचित्तेन्द्रियक्रिय ।उपविश्यासने युञ्‍ज्याद्योगमात्मविश‍ुद्धये ॥ १२ ॥,One should sit on the seat of the Supreme Personality of Godhead and practice yoga with one’s mind fixed on the Supreme Personality of Godhead,
12,13.0,समं कायशिरोग्रीवं धारयन्नचलं स्थिर: ।सम्प्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् ॥ १३ ॥,He looked at him with his body head and neck equally moving and steady in the tip of his nose and looked at him in all directions,"He looked at him with his body head and neck equally moving and steady in the tip of his nose and looked at him in all directions Having restrained the vows of celibacy and steadfastness of the mind, one should control my mind and be devoted to Me. 14  "
13,14.0,प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थित: ।मन: संयम्य मच्च‍ित्तो युक्त आसीत मत्पर: ॥ १४ ॥,"Having restrained the vows of celibacy and steadfastness of the mind, one should control my mind and be devoted to Me.",
14,15.0,युञ्जन्नेवं सदात्मानं योगी नियतमानस: ।शान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति ॥ १५ ॥,"One who thus engages himself in this state of self-control, who is controlled by the controlled mind, attains to the supreme state of tranquility, which is situated in Me.   ","One who thus engages himself in this state of self-control, who is controlled by the controlled mind, attains to the supreme state of tranquility, which is situated in Me. 15  "
15,16.0,नात्यश्न‍तस्तु योगोऽस्ति न चैकान्तमनश्न‍त: ।न चातिस्वप्‍नशीलस्य जाग्रतो नैव चार्जुन ॥ १६ ॥,"O Arjuna, there is no one who is not excessively absorbed in the same way, nor is there any one who is not aware of it, nor is there any one who is not aware of his own life.   ","O Arjuna, there is no one who is not excessively absorbed in the same way, nor is there any one who is not aware of it, nor is there any one who is not aware of his own life. 16  "
16,17.0,युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु ।युक्तस्वप्‍नावबोधस्य योगो भवति दु:खहा ॥ १७ ॥,"If one eats steadfast food and pastimes, he is engaged in his activities. He is the source of all suffering. .","If one eats steadfast food and pastimes, he is engaged in his activities. He is the source of all suffering. 17."
17,18.0,यदा विनियतं चित्तमात्मन्येवावतिष्ठते ।निस्पृह: सर्वकामेभ्यो युक्त इत्युच्यते तदा ॥ १८ ॥,"When the mind is fixed on the self, it is said to be devoid of all desires and is free from all desires.   ","When the mind is fixed on the self, it is said to be devoid of all desires and is free from all desires. 18  "
18,19.0,यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता ।योगिनो यतचित्तस्य युञ्जतो योगमात्मन: ॥ १९ ॥,"Just as a lamp in the air is not in the air, so the yogīs are controlled by the controlled mind. .","Just as a lamp in the air is not in the air, so the yogīs are controlled by the controlled mind. 19."
19,20.0,यत्रोपरमते चित्तं निरुद्धं योगसेवया ।यत्र चैवात्मनात्मानं पश्यन्नात्मनि तुष्यति ॥ २० ॥,"Wherever the mind is restrained by the service of yoga, the self-satisfied person is satisfied with the self-satisfied person","Wherever the mind is restrained by the service of yoga, the self-satisfied person is satisfied with the self-satisfied person. 20. The ultimate happiness of the Supreme Personality of Godhead, which perceives the senses, is transcendental to the senses. 21 He who has obtained it and thinks of another benefit is no more than that in which he is situated in which he is not disturbed by the spiritual master 22. It is known that the combination of pain and separation is called yoga. 23  "
20,21.0,सुखमात्यन्तिकं यत्तद्‍बुद्धिग्राह्यमतीन्द्रियम् ।वेत्ति यत्र न चैवायं स्थितश्चलति तत्त्वत: ॥ २१ ॥,"The ultimate happiness of the Supreme Personality of Godhead, which perceives the senses, is transcendental to the senses.",
21,22.0,यं लब्ध्वा चापरं लाभं मन्यते नाधिकं तत: ।यस्मिन्स्थितो न दु:खेन गुरुणापि विचाल्यते ॥ २२ ॥,He who has obtained it and thinks of another benefit is no more than that in which he is situated in which he is not disturbed by the spiritual master,
22,23.0,तं विद्याद्दु:खसंयोगवियोगं योगसंज्ञितम् ॥ २३ ॥,It is known that the combination of pain and separation is called yoga.,
23,24.0,स निश्चयेन योक्तव्यो योगोऽनिर्विण्णचेतसा ।सङ्कल्पप्रभवान्कामांस्त्यक्त्वा सर्वानशेषत: ।मनसैवेन्द्रियग्रामं विनियम्य समन्तत: ॥ २४ ॥,"After renouncing all desires for the sake of resolve for resolve in mind, one should resolve to resolve the senses from all material contamination.   ","After renouncing all desires for the sake of resolve for resolve in mind, one should resolve to resolve the senses from all material contamination. 24  "
24,25.0,शनै: शनैरुपरमेद्‍बुद्ध्या धृतिगृहीतया ।आत्मसंस्थं मन: कृत्वा न किञ्चिदपि चिन्तयेत् ॥ २५ ॥,One should slowly slowly cease with intelligence and concentrate on the self-contained mind and should not contemplate anything. .,One should slowly slowly cease with intelligence and concentrate on the self-contained mind and should not contemplate anything. 25.
25,26.0,यतो यतो निश्चलति मनश्चञ्चलमस्थिरम् ।ततस्ततो नियम्यैतदात्मन्येव वशं नयेत् ॥ २६ ॥,"Wherever the mind is restless and unsteady, one should then control the body and bring it under the control of the self. .","Wherever the mind is restless and unsteady, one should then control the body and bring it under the control of the self. 26."
26,27.0,प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम् ।उपैति शान्तरजसं ब्रह्मभूतमकल्मषम् ॥ २७ ॥,"The yogī, who is calm in his mind, attains to the supreme happiness of the yogī, which is the source of all impurities and is the Absolute Truth.   ","The yogī, who is calm in his mind, attains to the supreme happiness of the yogī, which is the source of all impurities and is the Absolute Truth. 27  "
27,28.0,युञ्जन्नेवं सदात्मानं योगी विगतकल्मष: ।सुखेन ब्रह्मसंस्पर्शमत्यन्तं सुखमश्न‍ुते ॥ २८ ॥,"When one thus engages himself in this way, the yogī, free from all impurities, attains to the Supreme Personality of Godhead with His transcendental bliss. .","When one thus engages himself in this way, the yogī, free from all impurities, attains to the Supreme Personality of Godhead with His transcendental bliss. 28."
28,29.0,सर्वभूतस्थमात्मानं सर्वभूतानि चात्मनि ।ईक्षते योगयुक्तात्मा सर्वत्र समदर्शन: ॥ २९ ॥,"The Supreme Personality of Godhead, who is steadfast in yoga, observes all living entities in all living entities and all living entities. .","The Supreme Personality of Godhead, who is steadfast in yoga, observes all living entities in all living entities and all living entities. 29."
29,30.0,यो मां पश्यति सर्वत्र सर्वं च मयि पश्यति ।तस्याहं न प्रणश्यामि स च मे न प्रणश्यति ॥ ३० ॥,"He who sees Me everywhere and sees everything in Me is not destroyed by Me, nor is he destroyed by Me. .","He who sees Me everywhere and sees everything in Me is not destroyed by Me, nor is he destroyed by Me. 30."
30,31.0,सर्वभूतस्थितं यो मां भजत्येकत्वमास्थित: ।सर्वथा वर्तमानोऽपि स योगी मयि वर्तते ॥ ३१ ॥,"He who worships Me in all living entities and who is situated in the unity of all living entities, although present in all respects, is present in Me.   ","He who worships Me in all living entities and who is situated in the unity of all living entities, although present in all respects, is present in Me. 31  "
31,32.0,आत्मौपम्येन सर्वत्र समं पश्यति योऽर्जुन ।सुखं वा यदि वा दु:खं स योगी परमो मत: ॥ ३२ ॥,"O Arjuna, a person who sees all things equal to the self-likeness of the self is considered to be the supreme yogī.   ","O Arjuna, a person who sees all things equal to the self-likeness of the self is considered to be the supreme yogī. 32  "
32,33.0,अर्जुन उवाचयोऽयं योगस्त्वया प्रोक्त: साम्येन मधुसूदन ।एतस्याहं न पश्यामि चञ्चलत्वात्स्थितिं स्थिराम् ॥ ३३ ॥,"Arjuna said: O Madhusuda, I have thus described the same yoga as this yoga. .","Arjuna said: O Madhusuda, I have thus described the same yoga as this yoga. 33."
33,34.0,चञ्चलं हि मन: कृष्ण प्रमाथि बलवद्दृढम् ।तस्याहं निग्रहं मन्ये वायोरिव सुदुष्करम् ॥ ३४ ॥,"My mind is restless, O Kṛṣṇa, and I think it is very difficult to control the wind.   ","My mind is restless, O Kṛṣṇa, and I think it is very difficult to control the wind. 34  "
34,35.0,श्रीभगवानुवाचअसंशयं महाबाहो मनो दुर्निग्रहं चलम् ।अभ्यासेन तु कौन्तेय वैराग्येण च गृह्यते ॥ ३५ ॥,"The Supreme Personality of Godhead said: O mighty-armed one, O mighty-armed one, the mind is undoubtedly uncontrolled. .","The Supreme Personality of Godhead said: O mighty-armed one, O mighty-armed one, the mind is undoubtedly uncontrolled. 35."
35,36.0,असंयतात्मना योगो दुष्प्राप इति मे मति: ।वश्यात्मना तु यतता शक्योऽवाप्‍तुमुपायत: ॥ ३६ ॥,"I think that yoga is difficult to attain by the uncontrolled self, but I can attain it by myself, but I can attain it. .","I think that yoga is difficult to attain by the uncontrolled self, but I can attain it by myself, but I can attain it. 36."
36,37.0,अर्जुन उवाचअयति: श्रद्धयोपेतो योगाच्च‍‍लितमानस: ।अप्राप्य योगसंसिद्धिं कां गतिं कृष्ण गच्छति ॥ ३७ ॥,Arjuna said: A person who is devoted to yoga and who has attained perfection in yoga has attained perfection in yoga. .,Arjuna said: A person who is devoted to yoga and who has attained perfection in yoga has attained perfection in yoga. 37.
37,38.0,कच्च‍िन्नोभयविभ्रष्टश्छिन्नाभ्रमिव नश्यति ।अप्रतिष्ठो महाबाहो विमूढो ब्रह्मण: पथि ॥ ३८ ॥,"O mighty-armed one, I wondered, O mighty-armed one, I wonder the path of the Supreme Personality of Godhead. .","O mighty-armed one, I wondered, O mighty-armed one, I wonder the path of the Supreme Personality of Godhead. 38."
38,39.0,एतन्मे संशयं कृष्ण छेत्तुमर्हस्यशेषत: ।त्वदन्य: संशयस्यास्य छेत्ता न ह्युपपद्यते ॥ ३९ ॥,"O Kṛṣṇa, You should cut off this doubt of Me, and You should cut off the end of my doubt. There is no one else who can cut off this doubt. .","O Kṛṣṇa, You should cut off this doubt of Me, and You should cut off the end of my doubt. There is no one else who can cut off this doubt. 39."
39,40.0,श्रीभगवानुवाचपार्थ नैवेह नामुत्र विनाशस्तस्य विद्यते ।न हि कल्याणकृत्कश्चिद्दुर्गतिं तात गच्छति ॥ ४० ॥,"The Supreme Personality of Godhead said: O son of Pārtha, no one who does good in this world does not cause any destruction in this world.   ","The Supreme Personality of Godhead said: O son of Pārtha, no one who does good in this world does not cause any destruction in this world. 40  "
40,41.0,प्राप्य पुण्यकृतां लोकानुषित्वा शाश्वती: समा: ।श‍ुचीनां श्रीमतां गेहे योगभ्रष्टोऽभिजायते ॥ ४१ ॥,"After obtaining the pious activities of the pious, the Lord is born in the home of the auspicious ones who have attained eternal life. .","After obtaining the pious activities of the pious, the Lord is born in the home of the auspicious ones who have attained eternal life. 41."
41,42.0,अथवा योगिनामेव कुले भवति धीमताम् ।एतद्धि दुर्लभतरं लोके जन्म यदीदृशम् ॥ ४२ ॥,Or maybe it is only the most rare in this world for the wise in the family of the yogīs alone.   ,Or maybe it is only the most rare in this world for the wise in the family of the yogīs alone. 42  
42,43.0,तत्र तं बुद्धिसंयोगं लभते पौर्वदेहिकम् ।यतते च ततो भूय: संसिद्धौ कुरुनन्दन ॥ ४३ ॥,"There, O son of the Kurus, the union of intelligence is attained by the previous embodied soul. .","There, O son of the Kurus, the union of intelligence is attained by the previous embodied soul. 43."
43,44.0,पूर्वाभ्यासेन तेनैव ह्रियते ह्यवशोऽपि स: ।जिज्ञासुरपि योगस्य शब्दब्रह्मातिवर्तते ॥ ४४ ॥,"By the same practice of previous practices, even though he is injured, even though he is injured by the Supreme Personality of Godhead, the Supreme Personality of Godhead is transgressed by the Supreme Personality of Godhead.   ","By the same practice of previous practices, even though he is injured, even though he is injured by the Supreme Personality of Godhead, the Supreme Personality of Godhead is transgressed by the Supreme Personality of Godhead. 44  "
44,45.0,प्रयत्‍नाद्यतमानस्तु योगी संश‍ुद्धकिल्बिष: ।अनेकजन्मसंसिद्धस्ततो याति परां गतिम् ॥ ४५ ॥,"The yogī, who is very much aware of his own efforts, is completely purified by his own efforts. .","The yogī, who is very much aware of his own efforts, is completely purified by his own efforts. 45."
45,46.0,तपस्विभ्योऽधिको योगी ज्ञानिभ्योऽपि मतोऽधिक: ।कर्मिभ्यश्चाधिको योगी तस्माद्योगी भवार्जुन ॥ ४६ ॥,"The yogī is superior to the ascetics, and the greater yogīs are greater than the yogīs. .","The yogī is superior to the ascetics, and the greater yogīs are greater than the yogīs. 46."
46,47.0,योगिनामपि सर्वेषां मद्ग‍तेनान्तरात्मना ।श्रद्धावान्भजते यो मां स मे युक्ततमो मत: ॥ ४७ ॥,He who worships Me with the innermost part of all the yogīs is considered by Me to be the most righteous. .,He who worships Me with the innermost part of all the yogīs is considered by Me to be the most righteous. 47.
