,slokas_no,slokas,slokas_english(NO NUMBERS),slokas_english
10,11.0,श्री भगवानुवाचअशोच्यनन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे ।गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः ॥ ११ ॥,The Supreme Personality of Godhead said: You are speaking without grieve for the sake of regrets and do not regret the words of intelligence. .,The Supreme Personality of Godhead said: You are speaking without grieve for the sake of regrets and do not regret the words of intelligence. 11.
11,12.0,न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः ।न चैव नभविष्यामः सर्वे वयमतः परम् ॥ १२ ॥,"I have never been, nor are you, nor these rulers of men, nor shall we not be any other.   ","I have never been, nor are you, nor these rulers of men, nor shall we not be any other. 12  "
12,13.0,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा ।तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति ॥ १३ ॥,"Otherwise, in this body, in the body, youth, youth, old age and old age are not deluded by the steadfastness of the body.   ","Otherwise, in this body, in the body, youth, youth, old age and old age are not deluded by the steadfastness of the body. 13  "
13,14.0,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः ।आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत ॥ १४ ॥,"O son of Kunti, O son of Kunti, please bear with them, O Arjuna, and they are eternal, sick, sick and deprived.   ","O son of Kunti, O son of Kunti, please bear with them, O Arjuna, and they are eternal, sick, sick and deprived. 14  "
14,15.0,यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ ।समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते ॥ १५ ॥,"O best of men, when these men are not disturbed, O best of men, the steadfast and pleasures of the Supreme Personality of Godhead are equally painful for their immortality.   ","O best of men, when these men are not disturbed, O best of men, the steadfast and pleasures of the Supreme Personality of Godhead are equally painful for their immortality. 15  "
15,16.0,नासतो विद्यते भावो नाभावो विद्यते सतः ।उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः ॥ १६ ॥,There is no being in the unreal and there is no absence of being.   ,There is no being in the unreal and there is no absence of being. 16  
16,17.0,अविनाशि तु तद्विद्धि येन सर्वमिदं ततम् ।विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति ॥ १७ ॥,Know that this is the indestructible one by which all this is pervaded and no one can do this inexhaustible destruction. .,Know that this is the indestructible one by which all this is pervaded and no one can do this inexhaustible destruction. 17.
17,18.0,अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः ।अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत ॥ १८ ॥,"These bodies are eternally described as the embodied beings of the embodied beings. Therefore, O descendant of Bharata, please fight the indestructible and immeasurable ones.   ","These bodies are eternally described as the embodied beings of the embodied beings. Therefore, O descendant of Bharata, please fight the indestructible and immeasurable ones. 18  "
18,19.0,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् ।उभौ तौ न विजानीतो नायं हन्ति न हन्यते ॥ १९ ॥,He who knows this is the killer and he who thinks that he is killed He does not know that he is not killed nor is he killed .,He who knows this is the killer and he who thinks that he is killed He does not know that he is not killed nor is he killed 19.
19,20.0,न जायते म्रियते वा कदाचि-न्नायं भूत्वा भविता वा न भूयः ।अजो नित्यः शाश्वतोऽयं पुराणोन हन्यते हन्यमाने शरीरे ॥ २० ॥,"He is never born or dies, nor will he ever be born, nor will he ever be unborn, eternal, eternal, nor ever killed by the body. When his body is killed, he is not killed.   ","He is never born or dies, nor will he ever be born, nor will he ever be unborn, eternal, eternal, nor ever killed by the body. When his body is killed, he is not killed. 20  "
20,21.0,वेदाविनाशिनं नित्यं य एनमजमव्ययम् ।कथं स पुरुषः पार्थ कं घातयति हन्ति कम् ॥ २१ ॥,O son of Pṛthā how does one kill this unborn and inexhaustible one who is eternally indestructible in the Vedas? Whom does he kill?   ,O son of Pṛthā how does one kill this unborn and inexhaustible one who is eternally indestructible in the Vedas? Whom does he kill? 21  
21,22.0,वासांसि जीर्णानि यथा विहायनवानि गृह्णाति नरोऽपराणि ।तथा शरीराणि विहाय जीर्णा-न्यन्यानि संयाति नवानि देही ॥ २२ ॥,"Just as a man takes old clothes and wore new ones, he leaves his body and puts away his old bodies.   ","Just as a man takes old clothes and wore new ones, he leaves his body and puts away his old bodies. 22  "
22,23.0,नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः ।न चैनं क्ल‍ेदयन्त्यापो न शोषयति मारुतः ॥ २३ ॥,The weapons do not cut it nor the fire burns it nor the wind nor the dry waters nor dried it   ,The weapons do not cut it nor the fire burns it nor the wind nor the dry waters nor dried it 23  
23,24.0,अच्छेद्योऽयमदाह्योऽयमक्ल‍ेद्योऽशोष्य एव च ।नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः ॥ २४ ॥,This is the inseparable one who is to be cut and burned and is not burnt and dried and is eternally omnipresent and eternal   ,This is the inseparable one who is to be cut and burned and is not burnt and dried and is eternally omnipresent and eternal 24  
24,25.0,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते ।तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि ॥ २५ ॥,"This unmanifest, unchanging, unchanging and unchanging person should not regret this. .","This unmanifest, unchanging, unchanging and unchanging person should not regret this. 25."
25,26.0,अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम् ।तथापि त्वं महाबाहो नैनं शोचितुमर्हसि ॥ २६ ॥,"O mighty-armed one, you should think that he is eternally born or eternally dead, yet you should not grieve for him. .","O mighty-armed one, you should think that he is eternally born or eternally dead, yet you should not grieve for him. 26."
26,27.0,जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च ।तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि ॥ २७ ॥,Death is certain for one who is born and that one who is dead is certainly dead.   ,Death is certain for one who is born and that one who is dead is certainly dead. 27  
27,28.0,अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत ।अव्यक्तनिधनान्येव तत्र का परिदेवना ॥ २८ ॥,"O descendant of Bharata, what is the regret for the unmanifest, the unmanifest, the unmanifest deaths? .","O descendant of Bharata, what is the regret for the unmanifest, the unmanifest, the unmanifest deaths? 28."
28,29.0,आश्चर्यवत्पश्यति कश्चिदेन -माश्चर्यवद्वदति तथैव चान्यः ।आश्चर्यवच्च‍ैनमन्यः श‍ृणोतिश्रुत्वाप्येनं वेद न चैव कश्चित् ॥ २९ ॥,Someone else sees him as a wonder and speaks astonishingly in the same way while another hears him as a wonder and no one knows it even after hearing it .,Someone else sees him as a wonder and speaks astonishingly in the same way while another hears him as a wonder and no one knows it even after hearing it 29.
29,30.0,देही नित्यमवध्योऽयं देहे सर्वस्य भारत ।तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि ॥ ३० ॥,"O descendant of Bharata, the embodied soul is always invincible to the body. Therefore, O descendant of Bharata, you should not grieve for all living beings. .","O descendant of Bharata, the embodied soul is always invincible to the body. Therefore, O descendant of Bharata, you should not grieve for all living beings. 30."
30,31.0,स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि ।धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते ॥ ३१ ॥,You should not be shaken by your own religious duties. There is nothing better for a kshatriya than warfare.   ,You should not be shaken by your own religious duties. There is nothing better for a kshatriya than warfare. 31  
31,32.0,यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् ।सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् ॥ ३२ ॥,O Arjuna the happy kshatriyas who were happy to have covered the gate of heaven by chance and enjoy such a battle   ,O Arjuna the happy kshatriyas who were happy to have covered the gate of heaven by chance and enjoy such a battle 32  
32,33.0,अथ चेत्त्वमिमं धर्म्यं सङ्ग्रामं न करिष्यसि ।ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि ॥ ३३ ॥,If you do not fight this righteous battle you will then give up your religious duties and fame and incur sin .,If you do not fight this righteous battle you will then give up your religious duties and fame and incur sin 33.
33,34.0,अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् ।सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते ॥ ३४ ॥,"If you are unable to repute in the universe, you will tell you about the unfavorable things that you can do so.   ","If you are unable to repute in the universe, you will tell you about the unfavorable things that you can do so. 34  "
34,35.0,भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः ।येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् ॥ ३५ ॥,The great charioteers will think you will be leaving you in fear and you will go lightly and go lightly .,The great charioteers will think you will be leaving you in fear and you will go lightly and go lightly 35.
35,36.0,अवाच्यवादांश्च बहून्वदिष्यन्ति तवाहिताः ।निन्दन्तस्तव सामर्थ्य ततो दुःखतरं नु किम् ॥ ३६ ॥,They will speak many inexpressible arguments and you will tell you what your strength is more painful than you .,They will speak many inexpressible arguments and you will tell you what your strength is more painful than you 36.
36,37.0,हतो वा प्राप्स्यसि स्वर्ग जित्वा वा भोक्ष्यसे महीम् ।तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः ॥ ३७ ॥,"Whether you have been killed you will attain heaven or conquer you and enjoy the earth therefore O son of Kunti, you have determined to fight for battle. .","Whether you have been killed you will attain heaven or conquer you and enjoy the earth therefore O son of Kunti, you have determined to fight for battle. 37."
37,38.0,सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ ।ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि ॥ ३८ ॥,"Equal to happiness and pain, profit and loss, victory and defeat, then engage in battle, and you will not incur sin. .","Equal to happiness and pain, profit and loss, victory and defeat, then engage in battle, and you will not incur sin. 38."
38,39.0,एषा तेऽभिहिता सांख्ये बुद्धिर्योगे त्विमां श‍ृणु ।बुद्ध्या युक्तो यया पार्थ कर्मबन्धं प्रहास्यसि ॥ ३९ ॥,"O son of Pṛthā, please hear this intelligence described to you in the Sāṅkhya Yoga. By which you will give up the bondage of your actions. .","O son of Pṛthā, please hear this intelligence described to you in the Sāṅkhya Yoga. By which you will give up the bondage of your actions. 39."
39,40.0,नेहाभिक्रमनाशोऽस्ति प्रत्यवायो न विद्यते ।स्वल्पमप्यस्य धर्मस्य त्रायते महतो भयात् ॥ ४० ॥,There is no responsibility in this world and there is no response to this world. Even a little bit of religious principles saves from great fear.   ,There is no responsibility in this world and there is no response to this world. Even a little bit of religious principles saves from great fear. 40  
40,41.0,व्यवसायात्मिका बुद्धिरेकेह कुरूनन्दन ।बहुशाखा ह्यनन्ताश्च बुद्धयोऽव्यवसायिनाम् ॥ ४१ ॥,O son of the Kurus alone the intelligence is the intellect which is the source of all business and is of infinite intelligence .,O son of the Kurus alone the intelligence is the intellect which is the source of all business and is of infinite intelligence 41.
41,42.0,यामिमां पुष्पितां वाचं प्रवदन्त्यविपश्चितः ।वेदवादरताः पार्थ नान्यदस्तीति वादिनः ॥ ४२ ॥,"The words of the Vedas, O son of Pṛthā, are the words of the Supreme Personality of Godhead, O son of Pṛthā.","The words of the Vedas, O son of Pṛthā, are the words of the Supreme Personality of Godhead, O son of Pṛthā. 42 They are desirous of desire and bestows the fruits of their births and actions 43."
42,43.0,कामात्मानः स्वर्गपरा जन्मकर्मफलप्रदाम् ।क्रियाविशेषबहुलां भोगैश्वर्यगतिं प्रति ॥ ४३ ॥,They are desirous of desire and bestows the fruits of their births and actions,
43,44.0,भोगैश्वर्यप्रसक्तानां तयापहृतचेतसाम् ।व्यवसायात्मिका बुद्धिः समाधौ न विधीयते ॥ ४४ ॥,Those who are attached to pleasures and opulence and who have abducted the minds of these things are not fixed in meditation.   ,Those who are attached to pleasures and opulence and who have abducted the minds of these things are not fixed in meditation. 44  
44,45.0,त्रैगुण्यविषया वेदा निस्त्रैगुण्यो भवार्जुन ।निर्द्वन्द्वो नित्यसत्त्वस्थो निर्योगक्षेम आत्मवान् ॥ ४५ ॥,"O Arjuna, the Vedas are free from all material contamination and are free from all material modes of material nature. .","O Arjuna, the Vedas are free from all material contamination and are free from all material modes of material nature. 45."
45,46.0,यावानर्थ उदपाने सर्वतः सम्प्लुतोदके ।तावान्सर्वेषु वेदेषु ब्राह्मणस्य विजानतः ॥ ४६ ॥,As many of the brāhmaṇas in all the Vedas when the waters of the river are flooded with water in the waters of the Vedas .,As many of the brāhmaṇas in all the Vedas when the waters of the river are flooded with water in the waters of the Vedas 46.
46,47.0,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन ।मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि ॥ ४७ ॥,"You have only the right to perform your duties, never to the fruits of your actions. Do not be the cause of the fruits of your actions, nor let your attachment be to inaction. .","You have only the right to perform your duties, never to the fruits of your actions. Do not be the cause of the fruits of your actions, nor let your attachment be to inaction. 47."
47,48.0,योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय ।सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते ॥ ४८ ॥,O Arjuna one should perform his duties in yoga and perform his duties as equal to perfection in perfection and perfection   ,O Arjuna one should perform his duties in yoga and perform his duties as equal to perfection in perfection and perfection 48  
48,49.0,दूरेण ह्यवरं कर्म बुद्धियोगाद्धनञ्जय ।बुद्धौ शरणमन्विच्छ कृपणाः फलहेतवः ॥ ४९ ॥,"O Arjuna, by the practice of intelligence and by the practice of intelligence, please take refuge in your intelligence and for the sake of rewards. .","O Arjuna, by the practice of intelligence and by the practice of intelligence, please take refuge in your intelligence and for the sake of rewards. 49."
49,50.0,बुद्धियुक्तो जहातीह उभे सुकृतदुष्कृते ।तस्माद्योगाय युज्यस्व योगः कर्मसु कौशलम् ॥ ५० ॥,"A person who is endowed with intelligence gives up both good and bad deeds in this world. Therefore, engage in yoga for yoga, for yoga.   ","A person who is endowed with intelligence gives up both good and bad deeds in this world. Therefore, engage in yoga for yoga, for yoga. 50  "
50,51.0,कर्मजं बुद्धियुक्ता हि फलं त्यक्त्वा मनीषिणः ।जन्मबन्धविनिर्मुक्ताः पदं गच्छन्त्यनामयम् ॥ ५१ ॥,Those who are endowed with intelligence and who are free from the fruits of their actions and who are freed from the bondage of birth and death go to the abode of health   ,Those who are endowed with intelligence and who are free from the fruits of their actions and who are freed from the bondage of birth and death go to the abode of health 51  
51,52.0,यदा ते मोहकलिलं बुद्धिर्व्यतितरिष्यति ।तदा गन्तासि निर्वेदं श्रोतव्यस्य श्रुतस्य च ॥ ५२ ॥,When your intelligence is overwhelmed by the stain of delusion you will attain to detachment from what you have heard and what you have heard   ,When your intelligence is overwhelmed by the stain of delusion you will attain to detachment from what you have heard and what you have heard 52  
52,53.0,श्रुतिविप्रतिपन्ना ते यदा स्थास्यति निश्चला ।समाधावचला बुद्धिस्तदा योगमवाप्स्यसि ॥ ५३ ॥,"When you are contradicted by the Vedas, you will remain unmoved and unsteady in meditation, then you will attain to yoga.   ","When you are contradicted by the Vedas, you will remain unmoved and unsteady in meditation, then you will attain to yoga. 53  "
53,54.0,अर्जुन उवाचस्थितप्रज्ञस्य का भाषा समाधिस्थस्य केशव ।स्थितधीः किं प्रभाषेत किमासीत व्रजेत किम् ॥ ५४ ॥,"Arjuna said: O Keśava, what is the language of a person who is in trance? What is the use of a steady mind? .","Arjuna said: O Keśava, what is the language of a person who is in trance? What is the use of a steady mind? 54."
54,55.0,श्रीभगवानुवाचप्रजहाति यदा कामान्सर्वान्पार्थ मनोगतान् ।आत्मन्येवात्मना तुष्टः स्थितप्रज्ञस्तदोच्यते ॥ ५५ ॥,"The Supreme Personality of Godhead said: When the Supreme Personality of Godhead, O son of the earth, is satisfied with the self, the mind is satisfied with the self-realized soul. .","The Supreme Personality of Godhead said: When the Supreme Personality of Godhead, O son of the earth, is satisfied with the self, the mind is satisfied with the self-realized soul. 55."
55,56.0,दुःखेष्वनुद्विग्न‍मनाः सुखेषु विगतस्पृहः ।वीतरागभयक्रोधः स्थिधीर्मुनिरुच्यते ॥ ५६ ॥,A sage is called a sage who is free from attachment to pleasures and who is free from attachment to pleasures   ,A sage is called a sage who is free from attachment to pleasures and who is free from attachment to pleasures 56  
56,57.0,यः सर्वत्रानभिस्नेहस्तत्तत्प्राप्य श‍ुभाश‍ुभम् ।नाभिनन्दति न द्वेष्टि तस्य प्रज्ञा प्रतिष्ठिता ॥ ५७ ॥,A person who does not feel affection for him who is not attached to it does not rejoice or hate or hate his intelligence   ,A person who does not feel affection for him who is not attached to it does not rejoice or hate or hate his intelligence 57  
57,58.0,यदा संहरते चायं कूर्मोऽङ्गानीव सर्वशः ।इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य प्रज्ञा प्रतिष्ठिता ॥ ५८ ॥,When this tortoise withdraws the limbs of the body in every way the senses are fixed in the sense objects of the senses   ,When this tortoise withdraws the limbs of the body in every way the senses are fixed in the sense objects of the senses 58  
58,59.0,विषया विनिवर्तन्ते निराहारस्य देहिनः ।रसवर्जं रसोऽप्यस्य परं दृष्ट्वा निवर्तते ॥ ५९ ॥,When the embodied beings are ceased by the food of the body the senses are withdrawn and the taste is avoided by seeing the other   ,When the embodied beings are ceased by the food of the body the senses are withdrawn and the taste is avoided by seeing the other 59  
59,60.0,यततो ह्यपि कौन्तेय पुरुषस्य विपश्चितः ।इन्द्रियाणि प्रमाथीनि हरन्ति प्रसभं मनः ॥ ६० ॥,"O son of Kunti, the wise man, who is also aware of the senses, strikes the minds of the Supreme Personality of Godhead. .","O son of Kunti, the wise man, who is also aware of the senses, strikes the minds of the Supreme Personality of Godhead. 60."
60,61.0,तानि सर्वाणि संयम्य युक्त आसीत मत्परः ।वशे हि यस्येन्द्रियाणि तस्य प्रज्ञा प्रतिष्ठिता ॥ ६१ ॥,Having restrained all these things he should be steadfast and devoted to Me. He whose senses are under his control is established in his intelligence.   ,Having restrained all these things he should be steadfast and devoted to Me. He whose senses are under his control is established in his intelligence. 61  
61,62.0,ध्यायतो विषयान्पुंसः सङ्गस्तेषूपजायते ।सङ्गात्सञ्जायते कामः कामात्क्रोधोऽभिजायते ॥ ६२ ॥,A man who meditates on objects is born of attachment to them and lust arises from attachment to lust and anger is born of lust .,A man who meditates on objects is born of attachment to them and lust arises from attachment to lust and anger is born of lust 62.
62,63.0,क्रोधाद्भ‍वति सम्मोहः सम्मोहात्स्मृतिविभ्रमः ।स्मृतिभ्रंशाद्बुद्धिनाशो बुद्धिनाशात्प्रणश्यति ॥ ६३ ॥,In anger there is delusion and delusion is the illusion of memory and the destruction of intelligence is destroyed by the loss of intelligence. .,In anger there is delusion and delusion is the illusion of memory and the destruction of intelligence is destroyed by the loss of intelligence. 63.
63,64.0,रागद्वेषविमुक्तैस्तु विषयनिन्द्रियैश्चरन् ।आत्मवश्यैर्विधेयात्मा प्रसादमधिगच्छति ॥ ६४ ॥,"One who is freed from attachment and hatred, moves about in sense gratification, attains the mercy of the Supreme Personality of Godhead.   ","One who is freed from attachment and hatred, moves about in sense gratification, attains the mercy of the Supreme Personality of Godhead. 64  "
64,65.0,प्रसादे सर्वदुःखानां हानिरस्योपजायते ।प्रसन्नचेतसो ह्याश‍ु बुद्धिः पर्यवतिष्ठते ॥ ६५ ॥,"When the mind is merciful to all sufferings, the intelligence of a person with a happy mind is relieved. .","When the mind is merciful to all sufferings, the intelligence of a person with a happy mind is relieved. 65."
65,66.0,नास्ति बुद्धिरयुक्तस्य न चायुक्तस्य भावना ।न चाभावयतः शान्तिरशान्तस्य कुतः सुखम् ॥ ६६ ॥,There is no intelligence for the steadfast nor for the steadfast and the mind is not meditated upon by the peaceful one who is unsettled .,There is no intelligence for the steadfast nor for the steadfast and the mind is not meditated upon by the peaceful one who is unsettled 66.
66,67.0,इन्द्रियाणां हि चरतां यन्मनोऽनुविधीयते ।तदस्य हरति प्रज्ञां वायुर्नावमिवाम्भसि ॥ ६७ ॥,"When the mind is moving about in the senses, the mind takes away the intelligence of the living entity, just as the wind takes away his intelligence in the water. .","When the mind is moving about in the senses, the mind takes away the intelligence of the living entity, just as the wind takes away his intelligence in the water. 67."
67,68.0,तस्माद्यस्य महाबाहो निगृहीतानि सर्वशः ।इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य प्रज्ञा प्रतिष्ठिता ॥ ६८ ॥,"Therefore, O mighty-armed one, whose intelligence is established in all respects, the senses, the senses and the objects of the senses are established.   ","Therefore, O mighty-armed one, whose intelligence is established in all respects, the senses, the senses and the objects of the senses are established. 68  "
68,69.0,या निशा सर्वभूतानां तस्यां जागर्ति संयमी ।यस्यां जाग्रति भूतानि सा निशा पश्यतो मुनेः ॥ ६९ ॥,The night in which all living entities are awake is the self-realized soul in which all living beings are awake and that night is the night of the sage. .,The night in which all living entities are awake is the self-realized soul in which all living beings are awake and that night is the night of the sage. 69.
69,70.0,आपूर्यमाणमचलप्रतिष्ठंसमुद्रमापः प्रविशन्ति यद्वत् ।तद्वत्कामा यं प्रविशन्ति सर्वेस शान्तिमाप्‍नोति न कामकामी ॥ ७० ॥,"Just as the waters of the ocean enter into the unchanging state of being filled with the unchanging state of the Supreme Personality of Godhead, they enter into the state of peace, but they are all peaceful, not the lustful one.   ","Just as the waters of the ocean enter into the unchanging state of being filled with the unchanging state of the Supreme Personality of Godhead, they enter into the state of peace, but they are all peaceful, not the lustful one. 70  "
70,71.0,विहाय कामान्यः सर्वान्पुमांश्चरति निःस्पृहः ।निर्ममो निरहङ्कार स शान्तिमधिगच्छति ॥ ७१ ॥,A man who gives up all his desires moves about and moves about without desire and who is free from egoism and who is free from egoism attains peace   ,A man who gives up all his desires moves about and moves about without desire and who is free from egoism and who is free from egoism attains peace 71  
71,72.0,एषा ब्राह्मी स्थितिःपार्थ नैनां प्राप्य विमुह्यति ।स्थित्वास्यामन्तकालेऽपि ब्रह्मनिर्वाणमृच्छति ॥ ७२ ॥,"This is the position of the Supreme Personality of Godhead, O Arjuna, and when one attains this state of being, one attains to the state of transcendental bliss even at the end of the day. .","This is the position of the Supreme Personality of Godhead, O Arjuna, and when one attains this state of being, one attains to the state of transcendental bliss even at the end of the day. 72."
