,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Google Translator,Easwaran - Google,Gandhi - Google,Purohit - Google
28,3,29,Those who are deluded by the operation of the gunas become attached to the results of their action. Those who understand these truths should not unsettle the ignorant. ,  Deluded by the gunas of prakriti men become attached to the activities of  the gunas; he who knows the truth of things should not unhinge the  slow-witted who have not the knowledge.   ," Those who do not understand the Qualities are interested in the act. Still, the wise man who knows the truth should not disturb the mind of him who does not. ","Those who are deluded by the modes of nature of nature are attached to the modes of nature, and those who know the whole of the Vedas should not move about in the whole world. .",0.44196254,0.5033159,0.4249577
29,3,30,"Performing all actions for my sake, completely absorbed in the Self, and without expectations, fight!  but stay free from the fever of the ego. ","  Cast all your acts on Me, with your mind fixed on the indwelling soul, and  without any thought of fruit, or sense of ‘mine' shake off your fever and fight!   "," Therefore, surrendering your actions unto Me, your thoughts concentrated on the Absolute, free from selfishness and without anticipation of reward, with mind devoid of excitement, begin you to fight. ","Having renounced all my activities in Me with the mind of the spiritual master, you should fight without any disraction and free from attachment and fever. .",0.6501091,0.55107355,0.764735
30,3,31,"Those who live in accordance with these divine laws without complaining, firmly established in faith, are released from karma. ","  Those who always act according to the rule I have here laid down, in faith  and without cavilling—they too are released from the bondage of their actions.   "," Those who always act in accordance with My precepts, firm in faith and without cavilling, they too are freed from the bondage of action. ",Those human beings who always follow this opinion of Me are also freed from their faith and are not jealous of them.   ,0.441487,0.43573704,0.538176
31,3,32,"Those who violate these laws, criticizing and complaining, are utterly deluded, and are the cause of their own suffering. ","  But those who cavil at the rule and refuse to conform to it are fools, dead to  all knowledge; know that they are lost.   "," But they who ridicule My word and do not keep it, are ignorant, devoid of wisdom and blind. They seek but their own destruction. ",Those who are jealous of this do not follow My opinion and know that they are deluded by all knowledge   ,0.31080762,0.35834467,0.4673084
32,3,33,Even the wise act within the limitations of their own nature. Every creature is subject to prakriti; what is the use of repression? ,  Even a man of knowledge acts according to his nature; all creatures follow  their nature; what then will constraint avail?   ," Even the wise man acts in character with his nature; indeed, all creatures act according to their natures. What is the use of compulsion then? ",Even though he is aware of his own nature he acts like a person who is aware of his own nature He goes to nature what will he do to restrain his nature .,0.41444433,0.606627,0.4945342
33,3,34,The senses have been conditioned by attraction to the pleasant and aversion to the unpleasant. Do not be ruled by them; they are obstacles in your path. ,"  Each sense has its settled likes and dislikes towards its objects; man should  not come under the sway of these, for they are his besetters.   ", The love and hate which are aroused by the objects of sense arise from Nature; do not yield to them. They only obstruct the path. ,"The two senses of passion and hatred are established in the sense of the senses, and the two are obstructed by the senses.   ",0.56011105,0.62715423,0.7732594
34,3,35,"It is better to strive in ones own dharma than to succeed in the dharma of another. Nothing is ever lost in following ones own dharma, but competition in anothers dharma breeds fear and insecurity. ","  Better one's own duty, bereft of merit, than another's well-performed; better  is death in the discharge of one's duty; another's duty is fraught with danger.   Arjuna Said:   "," It is better to do yours own duty, however lacking in merit, than to do that of another, even though efficiently. It is better to die doing one’s own duty, for to do the duty of another is fraught with danger. ",It is better for one’s own religion to be free from the customs of others than the duty of others. .,0.5118989,0.38415623,0.38232535
35,3,36,"ARJUNA:  What is the force that binds us to selfish deeds, O Krishna? What power moves us, even against our will, as if forcing us? ","  Then what impels man to sin, O Krishna, even against his will, as though  by force compelled?  The Lord Said:   "," Arjuna asked: My Lord! Tell me, what is it that drives a man to sin, even against his will and as if by compulsion? ","Arjuna said: Then by whom this sinful man is committed by him, even though he does not wish to do so, O Vārṣṇa, as if he were engaged in force. .",0.62910914,0.6917058,0.7622185
36,3,37,"KRISHNA: It is selfish desire and anger, arising from the guna of rajas; these are the appetites and evils which threaten a person in this life. ","  It is Lust, it is Wrath, born of the guna—Rajas. It is the arch-devourer, the  arch-sinner. Know this to be man's enemy here.   "," Lord Shri Krishna: It is desire, it is aversion, born of passion. Desire consumes and corrupts everything. It is man’s greatest enemy. ","The Supreme Personality of Godhead, the Supreme Personality of Godhead, said: This anger, which is the source of all passion, is the source of all the modes of passion. .",0.6400691,0.60826325,0.59108794
37,3,38,"Just as a fire is covered by smoke and a mirror is obscured by dust, just as the embryo rests deep within the womb, knowledge is hidden by selfish desire  ","  As fire is obscured by smoke, a mirror by dirt, and the embryo by the  amnion, so is knowledge obscured by this.   "," As fire is shrouded in smoke, a mirror by dust and a child by the womb, so is the universe enveloped in desire. ","Just as a fire is covered with smoke as a mirror is covered with dirt, so the embryo is covered by the floor. .",0.50807166,0.6102505,0.49194658
38,3,39,"hidden, Arjuna, by this unquenchable fire for self-satisfaction, the inveterate enemy of the wise. ","  Knowledge is obscured, O Arjuna, by this eternal enemy of the wise man,  in the form of Lust, the insatiable fire.   ", It is the wise man’s constant enemy; it tarnishes the face of wisdom. It is as insatiable as a flame of fire. ,O son of Kunti O son of Kunti you are always enveloped in knowledge by this knowledge of the Supreme Personality of Godhead by this knowledge of the Supreme Personality of Godhead .,0.44751886,0.51995015,0.39743954
39,3,40,"Selfish desire is found in the senses, mind, and intellect, misleading them and burying the understanding in delusion. ","  The senses, the mind and the reason are said to be its great seat; by means of  these it obscures knowledge and stupefies man.    "," It works through the senses, the mind and the reason; and with their help destroys wisdom and confounds the soul. ","The senses, the mind, the intellect and the position of the body are called the embodiment of knowledge.   ",0.24566123,0.58170307,0.270396
40,3,41,"Fight with all your strength, Arjuna! Controlling your senses, conquer your enemy, the destroyer of knowledge and realization. ","  Therefore, O Arjuna, bridle you first the senses and then rid yourself  of this sinner, the destroyer of knowledge and discrimination.   "," Therefore, O Arjuna, first control your senses and then slay desire, for it is full of sin, and is the destroyer of knowledge and of wisdom. ","O best of the Bhāratas, please control this material world by controlling the senses. Please destroy this knowledge of knowledge. .",0.6772979,0.56408024,0.59965694
41,3,42,"The senses are higher than the body, the mind higher than the senses; above the mind is the intellect, and above the intellect is the Atman. ","  Subtle, they say, are the senses; subtler than the senses is the mind; subtler  than the mind is the reason; but subtler even than the reason is He.     "," It is said that the senses are powerful. But beyond the senses is the mind, beyond the mind is the intellect, and beyond and greater than intellect is He. ",They say that the senses are superior to the senses and the mind is superior to the senses. The mind is the supreme intelligence which is beyond the intellect.   ,0.7558812,0.4908175,0.84702086
42,3,43,"Thus, knowing that which is supreme, let the Atman rule the ego. Use your mighty arms to slay the fierce enemy that is selfish desire.","  Thus realizing Him to be subtler than the reason, and controlling the self by  the Self (Atman), destroy, O Arjuna, this enemy—Lust, so hard to  overcome. "," Thus, O Mighty-in-Arms, knowing Him to be beyond the intellect and, by His help, subduing your personal egotism, kill yours enemy, Desire, extremely difficult though it be.” ","O mighty-armed one, having thus understood the supreme intelligence of your intellect, you must kill your enemy in the form of lust. .",0.58955413,0.64831847,0.7513415
43,5,1,"Arjuna said: O son of Janārdana, if you think of your actions, O son of January, why do you engage me in this terrible act?   ","Having renounced all my activities in Me with the mind of the spiritual master, you should fight without any disraction and free from attachment and fever. ."," But ignorance is destroyed by knowledge of the Self within. The light of this knowledge shines like the sun, revealing the supreme Brahman. ","  But to them whose ignorance is destroyed by the knowledge of soul, this  their knowledge, like the sun, reveals the Supreme.   ",0.27047473,0.3169983,0.8480474
44,5,2,You seem to be confused by my words with your confused words. Please tell me one thing that I shall attain to the welfare of all.   ,Those human beings who always follow this opinion of Me are also freed from their faith and are not jealous of them.   ," Those who cast off sin through this knowledge, absorbed in the Lord and established in him as their one goal and refuge, are not reborn as separate creatures. ","  Those whose intellect is suffused with That, whose self has become one with  That, who abide in That, and whose end and aim is that, wipe out their sins  with knowledge, and go where there is no return.   ",0.44901812,0.41339058,0.6021271
45,5,3,"O sinless one, I have already described to you in this world, O sinless one, by the practice of yogīs, by the practice of yogīs.   ",Those who are jealous of this do not follow My opinion and know that they are deluded by all knowledge   ," Those who possess this wisdom have equal regard for all. They see the same Self in a spiritual aspirant and an outcaste, in an elephant, a cow, and a dog. ","  The men of Self-realization look with an equal eye on a brahmana  possessed of learning and humility, a cow, an elephant, a dog and even a  dog-eater.   ",0.43310186,0.29023498,0.69916904
46,5,4,"A person who does not undertake his actions does not perform any activity, nor does he attain perfection by renunciation. .",Even though he is aware of his own nature he acts like a person who is aware of his own nature He goes to nature what will he do to restrain his nature .," Such people have mastered life. With even mind they rest in Brahman, who is perfect and is everywhere the same. ","  In this very body they have conquered the round of birth and death, whose  mind is anchored in sameness; for perfect Brahman is same to all, therefore in  Brahman they rest.   ",0.42103928,0.29481372,0.6228254
47,5,5,No one ever remains for a moment and does not perform any activity. Everyone is under the control of all the modes of nature by nature.   ,"The two senses of passion and hatred are established in the sense of the senses, and the two are obstructed by the senses.   "," They are not elated by good fortune nor depressed by bad. With mind established in Brahman, they are free from delusion. ","  He whose understanding is secure, who is undeluded, who knows Brahman  and who rests in Brahman, will neither be glad to get what is pleasant, nor sad  to get what is unpleasant.   ",0.3724973,0.43245566,0.5930462
48,5,6,He who controls the senses of action and reminds us of the senses and remembers the objects of the senses and is deluded by the senses of the senses is called a false conductor.   ,It is better for one’s own religion to be free from the customs of others than the duty of others. .," Not dependent on any external support, they realize the joy of spiritual awareness. With consciousness unified through meditation, they live in abiding joy. ","  He who has detached himself from contacts without, finds bliss in soul;  having achieved union with Brahman he enjoys eternal bliss.   ",0.3196177,0.30924702,0.59304404
49,5,7,"O Arjuna, a person who is unattached to the senses of action and the senses of action, who is engaged in controlling the senses by the mind, is superior.   ","Arjuna said: Then by whom this sinful man is committed by him, even though he does not wish to do so, O Vārṣṇa, as if he were engaged in force. ."," Pleasures conceived in the world of the senses have a beginning and an end and give birth to misery, Arjuna. The wise do not look for happiness in them. ","  For the joys derived from sense-contacts are nothing but mines of misery;  they have beginning and end, O Arjuna; the wise man does not revel therein.   ",0.45910305,0.39298034,0.63524204
50,5,8,"You should perform your duty as a fixed action and you are better than inaction. Even if you have a journey of your body, you will not be known for your inaction.   ","The Supreme Personality of Godhead, the Supreme Personality of Godhead, said: This anger, which is the source of all passion, is the source of all the modes of passion. .", But those who overcome the impulses of lust and anger which arise in the body are made whole and live in joy. ,"  The man who is able even here on earth, before he is released from the body, to  hold out against the floodtide of lust and wrath,—he is a yogi, he is happy.   ",0.21019462,0.4732796,0.49112105
51,5,9,"O son of Kunti, this world is bound by action for the sake of performing sacrifices, O son of Kunti. .","Just as a fire is covered with smoke as a mirror is covered with dirt, so the embryo is covered by the floor. ."," They find their joy, their rest, and their light completely within themselves. United with the Lord, they attain nirvana in Brahman. ","  He who finds happiness only within, rest only within, light only  within,—that yogi, having become one with nature, attains to oneness with  Brahman.   ",0.39868268,0.13686691,0.5862547
52,5,10,Having created the living entities with the sacrifices of the living entities the creator of the universe said to him .,O son of Kunti O son of Kunti you are always enveloped in knowledge by this knowledge of the Supreme Personality of Godhead by this knowledge of the Supreme Personality of Godhead .," Healed of their sins and conflicts, working for the good of all beings, the holy sages attain nirvana in Brahman. ","  They win oneness with Brahman—the seers whose sins are wiped out,  whose doubts are resolved, who have mastered themselves, and who are  engrossed in the welfare of all beings.   ",0.39602,0.43040958,0.6839963
53,5,11,By thinking of the demigods may those devatas feel you and you will attain the highest good by feeling for each other. .,"The senses, the mind, the intellect and the position of the body are called the embodiment of knowledge.   "," Free from anger and selfish desire, unified in mind, those who follow the path of yoga and realize the Self are established forever in that supreme state. ","  Rid of lust and wrath, masters of themselves, the ascetics who have realized  soul find oneness with Brahman everywhere around them.   ",0.4057278,0.2725445,0.5393258
54,5,12,He who enjoys the pleasures of the demigods will give you the pleasures he desires for those who are devoted to the sacrifice and who enjoys what they have given them   ,"O best of the Bhāratas, please control this material world by controlling the senses. Please destroy this knowledge of knowledge. ."," Closing their eyes, steadying their breathing, and focusing their attention on the center of spiritual consciousness, ","  That ascetic is ever free—who, having shut out the outward  sense-contacts, sits with his gaze fixed between the brows, outward and inward  breathing in the nostrils made equal; his senses, mind, and reason held in check;  rid of longing, fear and wrath; and intent on Freedom.   ",0.32875198,0.3076514,0.4286018
55,5,13,Those who eat the remains of the sacrifice are freed from all sins and enjoy the sins of the sinners who cook for their own sake   ,They say that the senses are superior to the senses and the mind is superior to the senses. The mind is the supreme intelligence which is beyond the intellect.   ," the wise master their senses, mind, and intellect through meditation. Self-realization is their only goal. Freed from selfish desire, fear, and anger, they live in freedom always. ","  That ascetic is ever free—who, having shut out the outward  sense-contacts, sits with his gaze fixed between the brows, outward and inward  breathing in the nostrils made equal; his senses, mind, and reason held in check;  rid of longing, fear and wrath; and intent on Freedom.  ",0.24946031,0.3693162,0.5030798
56,5,14,"From food comes all living entities and from the rain comes food. From the sacrifice, the rain is the source of all activities.   ","O mighty-armed one, having thus understood the supreme intelligence of your intellect, you must kill your enemy in the form of lust. ."," Knowing me as the friend of all creatures, the Lord of the universe, the end of all offerings and all spiritual disciplines, they attain eternal peace. ","  Knowing Me as the Acceptor of sacrifice and austerity, the great Lord of all  the worlds, the Friend of all creation, the yogi attains to peace.",0.40431702,0.4198678,0.66756797
57,5,15,Know that action is the source of the Absolute Truth and is the source of all knowledge.   ," ARJUNA:  O Krishna, you have recommended both the path of selfless action and sannyasa, the path of renunciation of action. Tell me definitely which is better. ","  You laud renunciation of actions, O Krishna, whilst at the same time you  laud performance of action; tell me for a certainty which is the better.  The Lord Said:   ","“Arjuna said: My Lord! At one moment You praise renunciation of action; at another, right action. Tell me truly, I pray, which of these is the more conducive to my highest welfare? ",0.41155803,0.7578639,0.779154
58,5,16,"O son of Pṛthā, whoever does not follow the wheel in this world in this world, O son of Pṛthā, will live in vain and enjoy the senses.   ", KRISHNA:  Both renunciation of action and the selfless performance of action lead to the supreme goal. But the path of action is better than renunciation. ,"  Renunciation and performance of action both lead to salvation; but of the  two, karmayoga (performance) is better than sannyasa (renunciation).     "," Lord Shri Krishna replied: Renunciation of action and the path of right action both lead to the highest; of the two, right action is the better. ",0.45786673,0.83846205,0.5770447
59,5,17,A human being who is satisfied with himself and who is satisfied with himself has no need of his duties .," Those who have attained perfect renunciation are free from any sense of duality; they are unaffected by likes and dislikes, Arjuna, and are free from the bondage of self-will. ",  Him one should know as ever renouncing who has no dislikes and likes; for  he who is free from the pairs of opposites is easily released from bondage.    ," He is a true ascetic who never desires or dislikes, who is uninfluenced by the opposites and is easily freed from bondage. ",0.3944562,0.47416043,0.54811275
60,5,18,There is no need for him in this world and no one in all living beings in this world   ," The immature think that knowledge and action are different, but the wise see them as the same. The person who is established in one path will attain the rewards of both. ","  It is the ignorant who speak of sankhya and yoga as different, not so those  who have knowledge. He who is rightly established even in one wins to the  fruit of both.   "," Only the unenlightened speak of wisdom and right action as separate, not the wise. If any man knows one, he enjoys the fruit of both. ",0.14157861,0.7313919,0.34536776
61,5,19,"Therefore, a person who is not attached to it should always perform his duties and perform his duties. .", The goal of knowledge and the goal of service are the same; those who fail to see this are blind. ,  The goal that the sankhyas attain is also reached by the yogins. He sees truly  who sees both sankhya and yoga as one.   ," The level which is reached by wisdom is attained through right action as well. He who perceives that the two are one, knows the truth. ",0.29805404,0.51737356,0.33853772
62,5,20,Janaka and others who have attained perfection by their actions are the only ones who have attained perfection even when they see even the collection of the worlds   ," Perfect renunciation is difficult to attain without performing action. But the wise, following the path of selfless service, quickly reach Brahman. ","  But renunciation, O Arjuna, is hard to attain except by yoga; the ascetic  equipped with yoga attains Brahman before long.   "," Without concentration, O Mighty Man, renunciation is difficult. But the sage who is always meditating on the Divine, before long shall attain the Absolute. ",0.43433535,0.78381157,0.6890277
63,5,21,Whatever the best person performs is the same as that of others.   ," Those who follow the path of service, who have completely purified themselves and conquered their senses and self-will, see the Self in all creatures and are untouched by any action they perform. ","  The yogi who has cleared himself, has gained mastery over his mind and all  his senses, who has become one with the soul in all creation, although he acts  he remains unaffected.   "," He who is spiritual, who is pure, who has overcome his senses and his personal self, who has realised his highest Self as the Self of all, such a one, even though he acts, is not bound by his acts. ",0.33332655,0.68887913,0.5528189
