slokas_no,slokas,slokas(no number),slokas_english
17,किरीटिनं गदिनं चक्रिणं चतेजोराशिं सर्वतो दीप्‍तिमन्तम् ।पश्यामि त्वां दुर्निरीक्ष्यं समन्ता-द्दीप्‍तानलार्कद्युतिमप्रमेयम् ॥ १७ ॥,"I see You, who are all-pervading, who shines like a crown, a club, a wheel, a radiance of the sun, and is very effulgent in all directions. .","I see You, who are all-pervading, who shines like a crown, a club, a wheel, a radiance of the sun, and is very effulgent in all directions. 17."
18,त्वमक्षरं परमं वेदितव्यंत्वमस्य विश्वस्य परं निधानम् ।त्वमव्यय: शाश्वतधर्मगोप्‍तासनातनस्त्वं पुरुषो मतो मे ॥ १८ ॥,"You are the imperishable, the supreme, the supreme treasure of this universe. You are the inexhaustible protector of the eternal religious principles. You are the Supreme Personality of Godhead.  ॥","You are the imperishable, the supreme, the supreme treasure of this universe. You are the inexhaustible protector of the eternal religious principles. You are the Supreme Personality of Godhead. 18 ॥"
19,अनादिमध्यान्तमनन्तवीर्य-मनन्तबाहुं शशिसूर्यनेत्रम् ।पश्यामि त्वां दीप्‍तहुताशवक्‍त्रंस्वतेजसा विश्वमिदं तपन्तम् ॥ १९ ॥,"I see You, whose eyes are infinite, infinite, infinite, infinitely powerful, the eyes of the moon, the sun and the sun. .","I see You, whose eyes are infinite, infinite, infinite, infinitely powerful, the eyes of the moon, the sun and the sun. 19."
20,द्यावापृथिव्योरिदमन्तरं हिव्याप्‍तं त्वयैकेन दिशश्च सर्वा: ।दृष्ट्वाद्‍भुतं रूपमुग्रं तवेदंलोकत्रयं प्रव्यथितं महात्मन् ॥ २० ॥,"O great soul, You have seen the fierce form of the universe, which is the difference between heaven and earth and all directions.  ॥","O great soul, You have seen the fierce form of the universe, which is the difference between heaven and earth and all directions. 20 ॥"
21,अमी हि त्वां सुरसङ्घा विशन्तिकेचिद्भ‍ीता: प्राञ्जलयो गृणन्ति ।स्वस्तीत्युक्त्वा महर्षिसिद्धसङ्घा:स्तुवन्ति त्वां स्तुतिभि: पुष्कलाभि: ॥ २१ ॥,"Some of the hosts of demigods, who are frightened with folded palms, enter You.  ॥","Some of the hosts of demigods, who are frightened with folded palms, enter You. 21 ॥"
22,रुद्रादित्या वसवो ये च साध्याविश्वेऽश्विनौ मरुतश्चोष्मपाश्च ।गन्धर्वयक्षासुरसिद्धसङ्घावीक्षन्ते त्वां विस्मिताश्चैव सर्वे ॥ २२ ॥,"All the Rudras, Aditis, Vasus, Sādhyas, Aśvinīs, Maruts, Choṣmapas, Gandharvas, Yakṣas, Asuras, Siddhas and hosts of siddhas are all amazed.  ॥","All the Rudras, Aditis, Vasus, Sādhyas, Aśvinīs, Maruts, Choṣmapas, Gandharvas, Yakṣas, Asuras, Siddhas and hosts of siddhas are all amazed. 22 ॥"
23,रूपं महत्ते बहुवक्‍त्रनेत्रंमहाबाहो बहुबाहूरुपादम् ।बहूदरं बहुदंष्ट्राकरालंदृष्ट्वा लोका: प्रव्यथितास्तथाहम् ॥ २३ ॥,"I was so greatly expressed in many ways, O mighty-armed one, with many arms, thighs and feet.  ॥","I was so greatly expressed in many ways, O mighty-armed one, with many arms, thighs and feet. 23 ॥"
24,नभ:स्पृशं दीप्‍तमनेकवर्णंव्यात्ताननं दीप्‍तविशालनेत्रम् ।दृष्ट्वा हि त्वां प्रव्यथितान्तरात्माधृतिं न विन्दामि शमं च विष्णो ॥ २४ ॥,"O Lord Visnu, I cannot find peace or patience in the sky, and I cannot find peace in the sky.  ॥","O Lord Visnu, I cannot find peace or patience in the sky, and I cannot find peace in the sky. 24 ॥"
25,दंष्ट्राकरालानि च ते मुखानिदृष्ट्वैव कालानलसन्निभानि ।दिशो न जाने न लभे च शर्मप्रसीद देवेश जगन्निवास ॥ २५ ॥,"O Lord of the gods, O Lord of the universe, O Lord of the universe, O Lord of the universe, I do not know the directions of Your faces, which are as terrible as the fire of time. .","O Lord of the gods, O Lord of the universe, O Lord of the universe, O Lord of the universe, I do not know the directions of Your faces, which are as terrible as the fire of time. 25."
26,अमी च त्वां धृतराष्ट्रस्य पुत्रा:सर्वे सहैवावनिपालसङ्घै: ।भीष्मो द्रोण: सूतपुत्रस्तथासौसहास्मदीयैरपि योधमुख्यै: ॥ २६ ॥,"All the sons of Dhṛtarāṣṭra, the son of Dhṛtarāṣṭra, along with the hosts of the rulers of the earth, Bhīṣma, the son of Sūta, and also to us, the son of Sūta, the son of the warriors.","All the sons of Dhṛtarāṣṭra, the son of Dhṛtarāṣṭra, along with the hosts of the rulers of the earth, Bhīṣma, the son of Sūta, and also to us, the son of Sūta, the son of the warriors. 26 The words of the Lord are in a hurry, and the fangs of the fangs are terrified, and some of them are seen in the midst of the teeth of the Lord. 27 ॥"
27,वक्‍त्राणि ते त्वरमाणा विशन्तिदंष्ट्राकरालानि भयानकानि ।केचिद्विलग्न‍ा दशनान्तरेषुसन्दृश्यन्ते चूर्णितैरुत्तमाङ्गै: ॥ २७ ॥,"The words of the Lord are in a hurry, and the fangs of the fangs are terrified, and some of them are seen in the midst of the teeth of the Lord.",
28,यथा नदीनां बहवोऽम्बुवेगा:समुद्रमेवाभिमुखा द्रवन्ति ।तथा तवामी नरलोकवीराविशन्ति वक्‍त्राण्यभिविज्‍वलन्ति ॥ २८ ॥,"Just as many rivers of rivers flow towards the ocean, so these heroes enter your mouths and are illuminated by the sun-god. .","Just as many rivers of rivers flow towards the ocean, so these heroes enter your mouths and are illuminated by the sun-god. 28."
29,यथा प्रदीप्‍तं ज्‍वलनं पतङ्गाविशन्ति नाशाय समृद्धवेगा: ।तथैव नाशाय विशन्ति लोका-स्तवापि वक्‍त्राणि समृद्धवेगा: ॥ २९ ॥,"Just as the lights of the moths enter into the light of the earth, so the words of the Lord enter Your prowess, and the words of Your Lordship enter Your mouths. .","Just as the lights of the moths enter into the light of the earth, so the words of the Lord enter Your prowess, and the words of Your Lordship enter Your mouths. 29."
30,लेलिह्यसे ग्रसमान: समन्ता-ल्ल‍ोकान्समग्रान्वदनैज्‍‍र्वलद्भ‍िः ।तेजोभिरापूर्य जगत्समग्रंभासस्तवोग्रा: प्रतपन्ति विष्णो ॥ ३० ॥,"O Lord Visnu, You are the source of all the universe with their effulgence, swallowing all the worlds with their effulgence. .","O Lord Visnu, You are the source of all the universe with their effulgence, swallowing all the worlds with their effulgence. 30."
31,आख्याहि मे को भवानुग्ररूपोनमोऽस्तु ते देववर प्रसीद ।विज्ञातुमिच्छामि भवन्तमाद्यंन हि प्रजानामि तव प्रवृत्तिम् ॥ ३१ ॥,"Please explain to me. O best of the demigods, please be merciful to me. Please be merciful to me. I wish to know You, the original person.  ॥","Please explain to me. O best of the demigods, please be merciful to me. Please be merciful to me. I wish to know You, the original person. 31 ॥"
32,श्रीभगवानुवाचकालोऽस्मि लोकक्षयकृत्प्रवृद्धोलोकान्समाहर्तुमिह प्रवृत्त: ।‍ऋतेऽपि त्वां न भविष्यन्ति सर्वेयेऽवस्थिता: प्रत्यनीकेषु योधा: ॥ ३२ ॥,"The Supreme Personality of Godhead said: “I am the destroyer of all the worlds, and I have enlarged the worlds to destroy the worlds, and I shall not be able to fight against all the warriors in the opposing armies.  ॥","The Supreme Personality of Godhead said: “I am the destroyer of all the worlds, and I have enlarged the worlds to destroy the worlds, and I shall not be able to fight against all the warriors in the opposing armies. 32 ॥"
33,तस्मात्त्वमुत्तिष्ठ यशो लभस्वजित्वा शत्रून्भुंक्ष्व राज्यं समृद्धम् ।मयैवैते निहता: पूर्वमेवनिमित्तमात्रं भव सव्यसाचिन् ॥ ३३ ॥,"Therefore, get up and enjoy your fame and enjoy your enemies and enjoy your kingdom. I have killed these men who have killed them in the past. .","Therefore, get up and enjoy your fame and enjoy your enemies and enjoy your kingdom. I have killed these men who have killed them in the past. 33."
34,द्रोणं च भीष्मं च जयद्रथं चकर्णं तथान्यानपि योधवीरान् ।मया हतांस्त्वं जहि मा व्यथिष्ठायुध्यस्व जेतासि रणे सपत्‍नान् ॥ ३४ ॥,"Drona, Bhīṣma, Jayadratha, Chakarna and other heroes of the warriors kill them. Do not be disturbed by me. Fight in battle. You will conquer your enemies.  ॥","Drona, Bhīṣma, Jayadratha, Chakarna and other heroes of the warriors kill them. Do not be disturbed by me. Fight in battle. You will conquer your enemies. 34 ॥"
35,सञ्जय उवाचएतच्छ्रुत्वा वचनं केशवस्यकृताञ्जलिर्वेपमान: किरीटी ।नमस्कृत्वा भूय एवाह कृष्णंसगद्ग‍दं भीतभीत: प्रणम्य ॥ ३५ ॥,"Sanjaya, hearing these words, spoke these words to Lord Keśava, trembling with folded hands and bowed down to Lord Kṛṣṇa, terrified and arrogant. .","Sanjaya, hearing these words, spoke these words to Lord Keśava, trembling with folded hands and bowed down to Lord Kṛṣṇa, terrified and arrogant. 35."
36,अर्जुन उवाचस्थाने हृषीकेश तव प्रकीर्त्याजगत्प्रहृष्यत्यनुरज्यते च ।रक्षांसि भीतानि दिशो द्रवन्तिसर्वे नमस्यन्ति च सिद्धसङ्घा: ॥ ३६ ॥,"Arjuna said: O Lord of the senses, in Your place, O Lord of the senses, You rejoice and rejoice in the world. .","Arjuna said: O Lord of the senses, in Your place, O Lord of the senses, You rejoice and rejoice in the world. 36."
37,कस्माच्च‍ ते न नमेरन्महात्मन्गरीयसे ब्रह्मणोऽप्यादिकर्त्रे ।अनन्त देवेश जगन्निवासत्वमक्षरं सदसत्तत्परं यत् ॥ ३७ ॥,"Why, O great Supreme Personality of Godhead, do they not bow down to the Supreme Personality of Godhead, O Supreme Personality of Godhead, O Supreme Personality of Godhead, the Supreme Personality of Godhead, the Supreme Personality of Godhead, the Supreme Absolute Truth, the Supreme Absolute Truth, the Supreme Absolute Truth? .","Why, O great Supreme Personality of Godhead, do they not bow down to the Supreme Personality of Godhead, O Supreme Personality of Godhead, O Supreme Personality of Godhead, the Supreme Personality of Godhead, the Supreme Personality of Godhead, the Supreme Absolute Truth, the Supreme Absolute Truth, the Supreme Absolute Truth? 37."
38,त्वमादिदेव: पुरुष: पुराण-स्त्वमस्य विश्वस्य परं निधानम् ।वेत्तासि वेद्यं च परं च धामत्वया ततं विश्वमनन्तरूप ॥ ३८ ॥,"You are the original Supreme Personality of Godhead, the Purāṇas, the Purāṇas, the Supreme Personality of Godhead, the Supreme Personality of Godhead. .","You are the original Supreme Personality of Godhead, the Purāṇas, the Purāṇas, the Supreme Personality of Godhead, the Supreme Personality of Godhead. 38."
39,वायुर्यमोऽग्न‍िर्वरुण: शशाङ्क:प्रजापतिस्त्वं प्रपितामहश्च ।नमो नमस्तेऽस्तु सहस्रकृत्व:पुनश्च भूयोऽपि नमो नमस्ते ॥ ३९ ॥,"O Vāyu, Yama, Agni, Varuṇa, Moon and Prajāpati, the great-grandfather, I offer my respectful obeisances unto You again and again. I offer my respectful obeisances unto You. .","O Vāyu, Yama, Agni, Varuṇa, Moon and Prajāpati, the great-grandfather, I offer my respectful obeisances unto You again and again. I offer my respectful obeisances unto You. 39."
40,नम: पुरस्तादथ पृष्ठतस्तेनमोऽस्तु ते सर्वत एव सर्व ।अनन्तवीर्यामितविक्रमस्त्वंसर्वं समाप्‍नोषि ततोऽसि सर्व: ॥ ४० ॥,"I offer my respectful obeisances unto You, who are in front of me, and who are in the form of infinite prowess and immeasurable prowess, and who have completed everything. I offer my respectful obeisances unto You.  ॥","I offer my respectful obeisances unto You, who are in front of me, and who are in the form of infinite prowess and immeasurable prowess, and who have completed everything. I offer my respectful obeisances unto You. 40 ॥"
41,सखेति मत्वा प्रसभं यदुक्तंहे कृष्ण हे यादव हे सखेति ।अजानता महिमानं तवेदंमया प्रमादात्प्रणयेन वापि ॥ ४१ ॥,"O Kṛṣṇa, I thought that I was a friend, O Kṛṣṇa, O friend of the demigods.","O Kṛṣṇa, I thought that I was a friend, O Kṛṣṇa, O friend of the demigods. I am immeasurable to you, O infallible one, in the presence of you, infallible, infallible, in the past, in the past, in the scene, who have been disrespected, who are not disrespected, who are not disrespected. 42 ॥"
42,यच्च‍ावहासार्थमसत्कृतोऽसिविहारशय्यासनभोजनेषु ।एकोऽथवाप्यच्युत तत्समक्षंतत्क्षामये त्वामहमप्रमेयम् ॥ ४२ ॥,"I am immeasurable to you, O infallible one, in the presence of you, infallible, infallible, in the past, in the past, in the scene, who have been disrespected, who are not disrespected, who are not disrespected.",
43,पितासि लोकस्य चराचरस्यत्वमस्य पूज्यश्च गुरुर्गरीयान् ।न त्वत्समोऽस्त्यभ्यधिक: कुतोऽन्योलोकत्रयेऽप्यप्रतिमप्रभाव ॥ ४३ ॥,"You are the father of all living entities, and the spiritual master of all living entities is equal to You. There is none equal to You, and there is none equal to You. .","You are the father of all living entities, and the spiritual master of all living entities is equal to You. There is none equal to You, and there is none equal to You. 43."
44,तस्मात्प्रणम्य प्रणिधाय कायंप्रसादये त्वामहमीशमीड्यम् ।पितेव पुत्रस्य सखेव सख्यु:प्रिय: प्रियायार्हसि देव सोढुम् ॥ ४४ ॥,"Therefore, O Lord, I offer my respectful obeisances unto You, who are dear to my friend, who is dear to my friend, and who is dear to my dear friend.  ॥","Therefore, O Lord, I offer my respectful obeisances unto You, who are dear to my friend, who is dear to my friend, and who is dear to my dear friend. 44 ॥"
45,अदृष्टपूर्वं हृषितोऽस्मि दृष्ट्वाभयेन च प्रव्यथितं मनो मे ।तदेव मे दर्शय देव रूपंप्रसीद देवेश जगन्निवास ॥ ४५ ॥,I am delighted to see what I have never seen before and I am overwhelmed with fear and my mind is disturbed. Please show me my form. .,I am delighted to see what I have never seen before and I am overwhelmed with fear and my mind is disturbed. Please show me my form. 45.
46,किरीटिनं गदिनं चक्रहस्त-मिच्छामि त्वां द्रष्टुमहं तथैव ।तेनैव रूपेण चतुर्भुजेनसहस्रबाहो भव विश्वमूर्ते ॥ ४६ ॥,"I wish to see You in the form of a crown, a club, a wheel, a wheel-bearing hand, and in the same form, O thousand-armed one, O thousand-armed one, be formed in the form of the universe. .","I wish to see You in the form of a crown, a club, a wheel, a wheel-bearing hand, and in the same form, O thousand-armed one, O thousand-armed one, be formed in the form of the universe. 46."
47,श्रीभगवानुवाचमया प्रसन्नेन तवार्जुनेदंरूपं परं दर्शितमात्मयोगात् ।तेजोमयं विश्वमनन्तमाद्यंयन्मे त्वदन्येन न दृष्टपूर्वम् ॥ ४७ ॥,"The Supreme Personality of Godhead said: O Arjuna, I have shown you this supreme form of Yourself, O Arjuna, because I have never seen You in the universe, which is the beginning of the universe. .","The Supreme Personality of Godhead said: O Arjuna, I have shown you this supreme form of Yourself, O Arjuna, because I have never seen You in the universe, which is the beginning of the universe. 47."
48,न वेदयज्ञाध्ययनैर्न दानै-र्न च क्रियाभिर्न तपोभिरुग्रै: ।एवंरूप: शक्य अहं नृलोकेद्रष्टुं त्वदन्येन कुरुप्रवीर ॥ ४८ ॥,"O mighty warrior of the Kurus, I cannot see any other form of this human being in this way by the study of the Vedas, sacrifices, alms or rituals.  ॥","O mighty warrior of the Kurus, I cannot see any other form of this human being in this way by the study of the Vedas, sacrifices, alms or rituals. 48 ॥"
49,मा ते व्यथा मा च विमूढभावोदृष्ट्वा रूपं घोरमीदृङ्‍ममेदम् ।व्यपेतभी: प्रीतमना: पुनस्त्वंतदेव मे रूपमिदं प्रपश्य ॥ ४९ ॥,"Don’t be distressed, don’t be confused, seeing this terrible form of mine. .","Don’t be distressed, don’t be confused, seeing this terrible form of mine. 49."
50,सञ्जय उवाचइत्यर्जुनं वासुदेवस्तथोक्त्वास्वकं रूपं दर्शयामास भूय: ।आश्वासयामास च भीतमेनंभूत्वा पुन: सौम्यवपुर्महात्मा ॥ ५० ॥,"Sanjaya said to Arjuna, “Assembly, Lord Vāsudeva, the great sage, again consoled her form and again consoled him and became frightened and again became very gentle.  ॥","Sanjaya said to Arjuna, “Assembly, Lord Vāsudeva, the great sage, again consoled her form and again consoled him and became frightened and again became very gentle. 50 ॥"
51,अर्जुन उवाचदृष्ट्वेदं मानुषं रूपं तव सौम्यं जनार्दन ।इदानीमस्मि संवृत्त: सचेता: प्रकृतिं गत: ॥ ५१ ॥,"Arjuna said: O Janārdana, I have now seen this human form, O son of Lord Brahmā.  ॥","Arjuna said: O Janārdana, I have now seen this human form, O son of Lord Brahmā. 51 ॥"
52,श्रीभगवानुवाचसुदुर्दर्शमिदं रूपं दृष्टवानसि यन्मम ।देवा अप्यस्य रूपस्य नित्यं दर्शनकाङ्‍‍क्षिण: ॥ ५२ ॥,"The Supreme Personality of Godhead, the Supreme Personality of Godhead, said: You have seen this form of the Supreme Personality of Godhead, who is always eager to see this form of the demigods.  ॥","The Supreme Personality of Godhead, the Supreme Personality of Godhead, said: You have seen this form of the Supreme Personality of Godhead, who is always eager to see this form of the demigods. 52 ॥"
53,नाहं वेदैर्न तपसा न दानेन न चेज्यया ।शक्य एवंविधो द्रष्टुं दृष्टवानसि मां यथा ॥ ५३ ॥,"I am not able to see Me in such a way that I cannot see Me in the Vedas, austerities, charity or sacrifice.  ॥","I am not able to see Me in such a way that I cannot see Me in the Vedas, austerities, charity or sacrifice. 53 ॥"
54,भक्त्य‍ा त्वनन्यया शक्य अहमेवंविधोऽर्जुन ।ज्ञातुं द्रष्टुं च तत्त्वेन प्रवेष्टुं च परन्तप ॥ ५४ ॥,O Arjuna I am able to know and enter into the truth by devotion to the Supreme Personality of Godhead with devotion .,O Arjuna I am able to know and enter into the truth by devotion to the Supreme Personality of Godhead with devotion 54.
55,मत्कर्मकृन्मत्परमो मद्भ‍क्त: सङ्गवर्जित: ।निर्वैर: सर्वभूतेषु य: स मामेति पाण्डव ॥ ५५ ॥,"O son of Pāṇḍu, the Supreme Personality of Godhead, who performs My activities and who is devoted to Me and who is free from attachment, is free from all attachments to all living entities. .","O son of Pāṇḍu, the Supreme Personality of Godhead, who performs My activities and who is devoted to Me and who is free from attachment, is free from all attachments to all living entities. 55."
