slokas_no,slokas,slokas_english(no numbers),slokas_english
11,यदक्षरं वेदविदो वदन्तिविशन्ति यद्यतयो वीतरागा: ।यदिच्छन्तो ब्रह्मचर्यं चरन्तितत्ते पदं सङ्ग्रहेण प्रवक्ष्ये ॥ ११ ॥,"I shall now describe to you the syllables of the Vedas, which are devoid of these syllables, and whatever they are devoid of others, and who are free from attachment to the Supreme Personality of Godhead. .","I shall now describe to you the syllables of the Vedas, which are devoid of these syllables, and whatever they are devoid of others, and who are free from attachment to the Supreme Personality of Godhead. 11."
12,सर्वद्वाराणि संयम्य मनो हृदि निरुध्य च ।मूध्‍न्‍‍र्याधायात्मन: प्राणमास्थितो योगधारणाम् ॥ १२ ॥,"Having restrained all the gates of the mind, one should restrain the mind and fixed the life-force in the form of the Supreme Personality of Godhead.   ","Having restrained all the gates of the mind, one should restrain the mind and fixed the life-force in the form of the Supreme Personality of Godhead. 12  "
13,ॐ इत्येकाक्षरं ब्रह्म व्याहरन्मामनुस्मरन् ।य: प्रयाति त्यजन्देहं स याति परमां गतिम् ॥ १३ ॥,"One who chants the mantra 'Om' is the one-syllable Brahma, remembering Me, and he who goes away, leaving the body, goes to the supreme destination.   ","One who chants the mantra 'Om' is the one-syllable Brahma, remembering Me, and he who goes away, leaving the body, goes to the supreme destination. 13  "
14,अनन्यचेता: सततं यो मां स्मरति नित्यश: ।तस्याहं सुलभ: पार्थ नित्ययुक्तस्य योगिन: ॥ १४ ॥,"O son of Pṛthā, I am easily attainable by the ever-contained yogī who constantly remembers Me with His mind and who always remembers Me.   ","O son of Pṛthā, I am easily attainable by the ever-contained yogī who constantly remembers Me with His mind and who always remembers Me. 14  "
15,मामुपेत्य पुनर्जन्म दु:खालयमशाश्वतम् ।नाप्‍नुवन्ति महात्मान: संसिद्धिं परमां गता: ॥ १५ ॥,"The great souls who have attained Me again attain to the eternal abode of suffering, and the great souls have attained supreme perfection.   ","The great souls who have attained Me again attain to the eternal abode of suffering, and the great souls have attained supreme perfection. 15  "
16,आब्रह्मभुवनाल्ल‍ोका: पुनरावर्तिनोऽर्जुन ।मामुपेत्य तु कौन्तेय पुनर्जन्म न विद्यते ॥ १६ ॥,"O Arjuna, O son of Kunti, I have come to Me again and again, O son of Kunti.   ","O Arjuna, O son of Kunti, I have come to Me again and again, O son of Kunti. 16  "
17,सहस्रयुगपर्यन्तमहर्यद्ब्रह्मणो विदु: ।रात्रिं युगसहस्रान्तां तेऽहोरात्रविदो जना: ॥ १७ ॥,"After a thousand yugas, the brāhmaṇas know that the time for a thousand nights is the end of a thousand yugas. .","After a thousand yugas, the brāhmaṇas know that the time for a thousand nights is the end of a thousand yugas. 17."
18,अव्यक्ताद्‍ व्यक्तय: सर्वा: प्रभवन्त्यहरागमे ।रात्र्यागमे प्रलीयन्ते तत्रैवाव्यक्तसंज्ञके ॥ १८ ॥,"From the unmanifest, all the manifestations of the universe arise in the arrival of the day when the night comes.   ","From the unmanifest, all the manifestations of the universe arise in the arrival of the day when the night comes. 18  "
19,भूतग्राम: स एवायं भूत्वा भूत्वा प्रलीयते ।रात्र्यागमेऽवश: पार्थ प्रभवत्यहरागमे ॥ १९ ॥,"O son of Pṛthā, when the night comes at night, the same group of living beings are dissolved. .","O son of Pṛthā, when the night comes at night, the same group of living beings are dissolved. 19."
20,परस्तस्मात्तु भावोऽन्योऽव्यक्तोऽव्यक्तात्सनातन: ।य: स सर्वेषु भूतेषु नश्यत्सु न विनश्यति ॥ २० ॥,"Beyond that transcendental state of being, the unmanifest, unmanifest and eternal, is never destroyed in all living entities.   ","Beyond that transcendental state of being, the unmanifest, unmanifest and eternal, is never destroyed in all living entities. 20  "
21,अव्यक्तोऽक्षर इत्युक्तस्तमाहु: परमां गतिम् ।यं प्राप्य न निवर्तन्ते तद्धाम परमं मम ॥ २१ ॥,The unmanifest and the unmanifest are called the supreme destination. That which they attain and never return to is My supreme abode.   ,The unmanifest and the unmanifest are called the supreme destination. That which they attain and never return to is My supreme abode. 21  
22,पुरुष: स पर: पार्थ भक्त्य‍ा लभ्यस्त्वनन्यया ।यस्यान्त:स्थानि भूतानि येन सर्वमिदं ततम् ॥ २२ ॥,"O son of Pṛthā, that Supreme Personality of Godhead, O son of Pṛthā, is attainable by devotion to Him.   ","O son of Pṛthā, that Supreme Personality of Godhead, O son of Pṛthā, is attainable by devotion to Him. 22  "
23,यत्र काले त्वनावृत्तिमावृत्तिं चैव योगिन: ।प्रयाता यान्ति तं कालं वक्ष्यामि भरतर्षभ ॥ २३ ॥,O best of the Bharatas I shall now describe the time when the yogīs have departed from the time of their recurrence   ,O best of the Bharatas I shall now describe the time when the yogīs have departed from the time of their recurrence 23  
24,अग्न‍िर्ज्योतिरह: शुक्ल‍ः षण्मासा उत्तरायणम् ।तत्र प्रयाता गच्छन्ति ब्रह्म ब्रह्मविदो जना: ॥ २४ ॥,"The fire, the light, the moon-god, the six months of the northern cycle of the sun-goddess, go there.   ","The fire, the light, the moon-god, the six months of the northern cycle of the sun-goddess, go there. 24  "
25,धूमो रात्रिस्तथा कृष्ण: षण्मासा दक्षिणायनम् ।तत्र चान्द्रमसं ज्योतिर्योगी प्राप्य निवर्तते ॥ २५ ॥,"Smoke, night, Kṛṣṇa and six months are the southern directions of the moon. .","Smoke, night, Kṛṣṇa and six months are the southern directions of the moon. 25."
26,श‍ुक्ल‍कृष्णे गती ह्येते जगत: शाश्वते मते ।एकया यात्यनावृत्तिमन्ययावर्तते पुन: ॥ २६ ॥,"When Lord Kṛṣṇa is eternally present in the universe, the Supreme Personality of Godhead, who is eternally present, attains the eternal state of the universe. .","When Lord Kṛṣṇa is eternally present in the universe, the Supreme Personality of Godhead, who is eternally present, attains the eternal state of the universe. 26."
27,नैते सृती पार्थ जानन्योगी मुह्यति कश्चन ।तस्मात्सर्वेषु कालेषु योगयुक्तो भवार्जुन ॥ २७ ॥,"O son of Pṛthā, I am not deluded by the yogīs, O son of Pṛthā, at all times, O Arjuna, at all times.   ","O son of Pṛthā, I am not deluded by the yogīs, O son of Pṛthā, at all times, O Arjuna, at all times. 27  "
28,वेदेषु यज्ञेषु तप:सु चैवदानेषु यत्पुण्यफलं प्रदिष्टम् ।अत्येति तत्सर्वमिदं विदित्वायोगी परं स्थानमुपैति चाद्यम् ॥ २८ ॥,"The yogī who knows all this is the first place where the fruits of the Vedas are described in the Vedas, sacrifices, austerities and gifts. .","The yogī who knows all this is the first place where the fruits of the Vedas are described in the Vedas, sacrifices, austerities and gifts. 28."
