slokas_no,slokas,slokas_english(no numbers),slokas_english
12,युक्त: कर्मफलं त्यक्त्वा शान्तिमाप्‍नोति नैष्ठिकीम् ।अयुक्त: कामकारेण फले सक्तो निबध्यते ॥ १२ ॥,A person who is engaged in the fruits of his actions and gives up the fruits of his actions and attains peace and is bound by the desires of the desires of the desires of the self.  ,A person who is engaged in the fruits of his actions and gives up the fruits of his actions and attains peace and is bound by the desires of the desires of the desires of the self. 12 
13,सर्वकर्माणि मनसा सन्न्यस्यास्ते सुखं वशी ।नवद्वारे पुरे देही नैव कुर्वन्न कारयन् ॥ १३ ॥,"Having renounced all the activities of the Lord, the embodied soul does not perform the rituals of happiness in the nine gates of the city.  ","Having renounced all the activities of the Lord, the embodied soul does not perform the rituals of happiness in the nine gates of the city. 13 "
14,न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभु: ।न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते ॥ १४ ॥,"The Supreme Personality of Godhead, the Supreme Personality of Godhead, creates the fruits of His activities, His activities, His transcendental nature.  ","The Supreme Personality of Godhead, the Supreme Personality of Godhead, creates the fruits of His activities, His activities, His transcendental nature. 14 "
15,नादत्ते कस्यचित्पापं न चैव सुकृतं विभु: ।अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तव: ॥ १५ ॥,The almighty almighty does not commit any sinful acts of any kind of sin  ,The almighty almighty does not commit any sinful acts of any kind of sin 15 
16,ज्ञानेन तु तदज्ञानं येषां नाशितमात्मन: ।तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् ॥ १६ ॥,"By knowledge, however, the knowledge of the self is destroyed by the knowledge of those who have been destroyed by the self.  ","By knowledge, however, the knowledge of the self is destroyed by the knowledge of those who have been destroyed by the self. 16 "
17,तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणा: ।गच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषा: ॥ १७ ॥,"Those who are intelligent and who are devoted to the Supreme Personality of Godhead, who are devoted to Him, attain to the rebirth of the Self. .","Those who are intelligent and who are devoted to the Supreme Personality of Godhead, who are devoted to Him, attain to the rebirth of the Self. 17."
18,विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि ।श‍ुनि चैव श्वपाके च पण्डिता: समदर्शिन: ॥ १८ ॥,The learned men were equally seen by the learned in a cow elephant and elephant  ,The learned men were equally seen by the learned in a cow elephant and elephant 18 
19,इहैव तैर्जित: सर्गो येषां साम्ये स्थितं मन: ।निर्दोषं हि समं ब्रह्म तस्माद्‍ब्रह्मणि ते स्थिता: ॥ १९ ॥,"Those who have conquered creation are equal to the Supreme Personality of Godhead, who is equal to the Supreme Absolute Truth. Therefore the Supreme Absolute Truth is equal to the Supreme Absolute Truth. .","Those who have conquered creation are equal to the Supreme Personality of Godhead, who is equal to the Supreme Absolute Truth. Therefore the Supreme Absolute Truth is equal to the Supreme Absolute Truth. 19."
20,न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम् ।स्थिरबुद्धिरसम्मूढो ब्रह्मविद्‍ब्रह्मणि स्थित: ॥ २० ॥,One who knows the Absolute Truth should not rejoice when he obtains what is pleasant and does not bewildered his unpleasant things when he is steady in intelligence  ,One who knows the Absolute Truth should not rejoice when he obtains what is pleasant and does not bewildered his unpleasant things when he is steady in intelligence 20 
21,बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम् ।स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्न‍ुते ॥ २१ ॥,A person who is not attached to external touches attains the happiness of the self in the self. The self-contained self attains inexhaustible happiness.  ,A person who is not attached to external touches attains the happiness of the self in the self. The self-contained self attains inexhaustible happiness. 21 
22,ये हि संस्पर्शजा भोगा दु:खयोनय एव ते ।आद्यन्तवन्त: कौन्तेय न तेषु रमते बुध: ॥ २२ ॥,"O son of Kunti, the wise man does not enjoy the pleasures of touch, which are the sources of suffering.  ","O son of Kunti, the wise man does not enjoy the pleasures of touch, which are the sources of suffering. 22 "
23,शक्न‍ोतीहैव य: सोढुं प्राक्शरीरविमोक्षणात् ।कामक्रोधोद्भ‍वं वेगं स युक्त: स सुखी नर: ॥ २३ ॥,A man who can bear the body in this world with his body in the past by the liberation of his body in the past by his desires and anger is a happy man  ,A man who can bear the body in this world with his body in the past by the liberation of his body in the past by his desires and anger is a happy man 23 
24,योऽन्त:सुखोऽन्तरारामस्तथान्तर्ज्योतिरेव य: ।स योगी ब्रह्मनिर्वाणं ब्रह्मभूतोऽधिगच्छति ॥ २४ ॥,"The yogī attains the Absolute Truth, the Supreme Absolute Truth, the Supreme Absolute Truth, the Supreme Absolute Truth, the Supreme Light.  ","The yogī attains the Absolute Truth, the Supreme Absolute Truth, the Supreme Absolute Truth, the Supreme Absolute Truth, the Supreme Light. 24 "
25,लभन्ते ब्रह्मनिर्वाणमृषय: क्षीणकल्मषा: ।छिन्नद्वैधा यतात्मान: सर्वभूतहिते रता: ॥ २५ ॥,"The great sages, who are free from all impurities and who are self-controlled, attain to the welfare of all living entities. .","The great sages, who are free from all impurities and who are self-controlled, attain to the welfare of all living entities. 25."
26,कामक्रोधविमुक्तानां यतीनां यतचेतसाम् ।अभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम् ॥ २६ ॥,Those who are free from lust and anger are self-controlled and self-realized. .,Those who are free from lust and anger are self-controlled and self-realized. 26.
27,स्पर्शान्कृत्वा बहिर्बाह्यांश्चक्षुश्चैवान्तरे भ्रुवो: ।प्राणापानौ समौ कृत्वा नासाभ्यन्तरचारिणौ ॥ २७ ॥,They touched the outside of the eye and the outer eyes of the eyebrows in the middle of the eyebrows and move the breathing and exhaling in the middle of the nostrils.,"They touched the outside of the eye and the outer eyes of the eyebrows in the middle of the eyebrows and move the breathing and exhaling in the middle of the nostrils. The sage who has controlled his senses, mind and intellect is always free from desire, fear and anger. 28."
28,यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायण: ।विगतेच्छाभयक्रोधो य: सदा मुक्त एव स: ॥ २८ ॥,"The sage who has controlled his senses, mind and intellect is always free from desire, fear and anger.",
29,भोक्तारं यज्ञतपसां सर्वलोकमहेश्वरम् ।सुहृदं सर्वभूतानां ज्ञात्वा मां शान्तिमृच्छति ॥ २९ ॥,"Knowing Me to be the enjoyer of sacrifices, austerities and the great Lord of all the worlds, one attains peace to all living beings. .","Knowing Me to be the enjoyer of sacrifices, austerities and the great Lord of all the worlds, one attains peace to all living beings. 29."
