"slokas_no","slokas","slokas(no number)","slokas_english"
"11","यतन्तो योगिनश्चैनं पश्यन्त्यात्मन्यवस्थितम् ।यतन्तोऽप्यकृतात्मानो नैनं पश्यन्त्यचेतस: ॥ ११ ॥","The yogīs who strive to see Him in the Self and who are unable to see Him do not see Him in the Self. .","The yogīs who strive to see Him in the Self and who are unable to see Him do not see Him in the Self. 11."
"12","यदादित्यगतं तेजो जगद्भ‍ासयतेऽखिलम् ।यच्च‍न्द्रमसि यच्च‍ाग्न‍ौ तत्तेजो विद्धि मामकम् ॥ १२ ॥","The effulgence of the sun-god, the sun-god, shines forth, and whatever the moon is in the fire, and whatever the fire is in the fire, know that it is mine.  ॥","The effulgence of the sun-god, the sun-god, shines forth, and whatever the moon is in the fire, and whatever the fire is in the fire, know that it is mine. 12 ॥"
"13","गामाविश्य च भूतानि धारयाम्यहमोजसा ।पुष्णामि चौषधी: सर्वा: सोमो भूत्वा रसात्मक: ॥ १३ ॥","I enter the cow and sustain all living entities with the power of myself and nourish all the four herbs.  ॥","I enter the cow and sustain all living entities with the power of myself and nourish all the four herbs. 13 ॥"
"14","अहं वैश्वानरो भूत्वा प्राणिनां देहमाश्रित: ।प्राणापानसमायुक्त: पचाम्यन्नं चतुर्विधम् ॥ १४ ॥","I am the Vaisvanara, the living entity, who takes refuge in the body of all living beings.  ॥","I am the Vaisvanara, the living entity, who takes refuge in the body of all living beings. 14 ॥"
"15","सर्वस्य चाहं हृदि सन्निविष्टोमत्त: स्मृतिर्ज्ञानमपोहनं च ।वेदैश्च सर्वैरहमेव वेद्योवेदान्तकृद्वेदविदेव चाहम् ॥ १५ ॥","I am the Supreme Personality of Godhead, who is in the heart of everyone, and I am the source of all knowledge and knowledge.  ॥","I am the Supreme Personality of Godhead, who is in the heart of everyone, and I am the source of all knowledge and knowledge. 15 ॥"
"16","द्वाविमौ पुरुषौ लोके क्षरश्चाक्षर एव च ।क्षर: सर्वाणि भूतानि कूटस्थोऽक्षर उच्यते ॥ १६ ॥","The two elements of the universe are the syllables, the imperishable, the imperishable, the imperishable, the imperishable, the unchanging and the imperishable.  ॥","The two elements of the universe are the syllables, the imperishable, the imperishable, the imperishable, the imperishable, the unchanging and the imperishable. 16 ॥"
"17","उत्तम: पुरुषस्त्वन्य: परमात्मेत्युदाहृत: ।यो लोकत्रयमाविश्य बिभर्त्यव्यय ईश्वर: ॥ १७ ॥","The Supreme Personality of Godhead, who is the Supreme Personality of Godhead, is called the Supreme Soul, the Supreme Soul. .","The Supreme Personality of Godhead, who is the Supreme Personality of Godhead, is called the Supreme Soul, the Supreme Soul. 17."
"18","यस्मात्क्षरमतीतोऽहमक्षरादपि चोत्तम: ।अतोऽस्मि लोके वेदे च प्रथित: पुरुषोत्तम: ॥ १८ ॥","Because I am transcendental to the imperishable, I am the Supreme Personality of Godhead in this world and in the Vedas.  ॥","Because I am transcendental to the imperishable, I am the Supreme Personality of Godhead in this world and in the Vedas. 18 ॥"
"19","यो मामेवमसम्मूढो जानाति पुरुषोत्तमम् ।स सर्वविद्भ‍जति मां सर्वभावेन भारत ॥ १९ ॥","He who knows Me in this way is not deluded by the Supreme Personality of Godhead, O descendant of Bharata, who knows Me in all respects. .","He who knows Me in this way is not deluded by the Supreme Personality of Godhead, O descendant of Bharata, who knows Me in all respects. 19."
"20","इति गुह्यतमं शास्त्रमिदमुक्तं मयानघ ।एतद्‍बुद्ध्वा बुद्धिमान्स्यात्कृतकृत्यश्च भारत ॥ २० ॥","O sinless one, O sinless one, I have thus explained this most secret scripture, O descendant of Bharata.  ॥","O sinless one, O sinless one, I have thus explained this most secret scripture, O descendant of Bharata. 20 ॥"
