slokas_no,slokas,,slokas_english(no numbers),slokas_english
14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ ।माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥ १४ ॥,,"Then the two divine conchshells, Mādhava and the Pāṇḍavas, arranged in a great chariot with white horses.    ","Then the two divine conchshells, Mādhava and the Pāṇḍavas, arranged in a great chariot with white horses. 14   "
15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः ।पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥ १५ ॥,,"The son of Pāñcājanya and the son of Dṛṣīkeśa, the son of Dyāsa, blew the great conchshell and Bhīmakarma.    ","The son of Pāñcājanya and the son of Dṛṣīkeśa, the son of Dyāsa, blew the great conchshell and Bhīmakarma. 15   "
16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः ।नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥ १६ ॥,,"King Yudhisthira, the son of Kunti, the son of Nakula, the son of Sughosha and Manipushpaka","King Yudhisthira, the son of Kunti, the son of Nakula, the son of Sughosha and Manipushpaka. 16 The great sage Kāśya and the great archer Shikhandi were the great charioteers Dhṛṣṭādyumna and Virāta and Satyaki were also defeated 17 O lord of the earth the mighty-armed Draupadi and Draupadi blew their conches in all respects 18   "
17,काश्यश्च परमेष्वास: शिखण्डी च महारथ: ।धृष्टद्युम्न‍ो विराटश्च सात्यकिश्‍चापराजित: ॥ १७ ॥,,The great sage Kāśya and the great archer Shikhandi were the great charioteers Dhṛṣṭādyumna and Virāta and Satyaki were also defeated,
18,द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते ।सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक्पृथक् ॥ १८ ॥,,O lord of the earth the mighty-armed Draupadi and Draupadi blew their conches in all respects,
19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् ।नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् ॥ १९ ॥,,The sound of the sons of Dhṛtarāṣṭra tore the hearts of the sons of Dhṛtarāṣṭra and the tumultuous sound of the sky and the earth and the earth .,The sound of the sons of Dhṛtarāṣṭra tore the hearts of the sons of Dhṛtarāṣṭra and the tumultuous sound of the sky and the earth and the earth 19.
20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः ।प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः ।हृषीकेशं तदा वाक्यमिदमाह महीपते ॥ २० ॥,,Seeing the sons of the sons of Kapi who was standing there in the midst of a weapon the son of Pāṇḍu arranged the bow of the son of Pāṇḍu who was in accordance with the weapons of the sons of Pāṇḍu    ,Seeing the sons of the sons of Kapi who was standing there in the midst of a weapon the son of Pāṇḍu arranged the bow of the son of Pāṇḍu who was in accordance with the weapons of the sons of Pāṇḍu 20   
21,अर्जुन उवाचसेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ।यावदेतान्निरीक्षेऽहं योद्‍धुकामानवस्थितान् ॥ २१ ॥,,"Arjuna said: O infallible one, I have observed the chariot between the two armies, O infallible one, as long as I have seen these men standing there.","Arjuna said: O infallible one, I have observed the chariot between the two armies, O infallible one, as long as I have seen these men standing there. 21 What should I fight with me in this battle? 22   "
22,कैर्मया सह योद्धव्यमस्मिन्‍रणसमुद्यमे ॥ २२ ॥,,What should I fight with me in this battle?,
23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः ।धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥ २३ ॥,,I looked at the men who had assembled here in this battle for the sake of the wicked Dhṛtarāṣṭra who wished to please him    ,I looked at the men who had assembled here in this battle for the sake of the wicked Dhṛtarāṣṭra who wished to please him 23   
24,सञ्जय उवाचएवमुक्तो हृषीकेशो गुडाकेशेन भारत ।सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥ २४ ॥,,"Sanjaya said: Thus addressed by Gudakesha, O descendant of Bharata, the best of chariots was placed in the middle of the two armies.    ","Sanjaya said: Thus addressed by Gudakesha, O descendant of Bharata, the best of chariots was placed in the middle of the two armies. 24   "
25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्  ।उवाच पार्थ पश्यैतान्समवेतान्कुरुनिति ॥ २५ ॥,,"O son of Pṛthā, please look at these assembled by Bhīṣma and Drona and all the kings of the earth. .","O son of Pṛthā, please look at these assembled by Bhīṣma and Drona and all the kings of the earth. 25."
26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्।आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा।श्वश‍ुरान्सुहृदश्चैव सेनयोरुभयोरपि ॥ २६ ॥,,There he saw the fathers and grandfathers the teachers his maternal uncles brothers sons and friends the fathers and friends of both the armies .,There he saw the fathers and grandfathers the teachers his maternal uncles brothers sons and friends the fathers and friends of both the armies 26.
27,तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्  ।कृपया परयाविष्टो विषीदन्निदमब्रवीत् ॥ २७ ॥,,Overcome with mercifulness Kaunteya looked at all his relatives and spoke these words in a state of depression and addressed them as follows    ,Overcome with mercifulness Kaunteya looked at all his relatives and spoke these words in a state of depression and addressed them as follows 27   
28,अर्जुन उवाचदृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  ।सीदन्ति मम गात्राणि मुखं च परिश‍ुष्यति ॥ २८ ॥,,"Arjuna said: O Kṛṣṇa, when I saw this relative of this people, my limbs were traced to fight. .","Arjuna said: O Kṛṣṇa, when I saw this relative of this people, my limbs were traced to fight. 28."
29,वेपथुश्च शरीरे मे रोमहर्षश्च जायते ।गाण्डीवं स्रंसते हस्तात्त्वक्च‍ैव परिदह्यते ॥ २९ ॥,,My body is trembling and my hair is thrilled and my skin is burnt by the skin of the body. .,My body is trembling and my hair is thrilled and my skin is burnt by the skin of the body. 29.
30,न च शक्न‍ोम्यवस्थातुं भ्रमतीव च मे मनः ।निमित्तानि च पश्यामि विपरीतानि केशव ॥ ३० ॥,,"O Keśava, I cannot be able to stand in the sky and see my mind in the opposite directions. .","O Keśava, I cannot be able to stand in the sky and see my mind in the opposite directions. 30."
31,न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ।न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च ॥ ३१ ॥,,"O Kṛṣṇa, I do not see any good in killing my relatives in battle. O Kṛṣṇa, I do not desire victory, nor kingdom, nor pleasures.    ","O Kṛṣṇa, I do not see any good in killing my relatives in battle. O Kṛṣṇa, I do not desire victory, nor kingdom, nor pleasures. 31   "
32,किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ।येषामर्थे काङ्‍‍क्षितं नो राज्यं भोगाः सुखानि च ॥ ३२  ॥,,"O Govinda, what is the use of our kingdom or pleasures, what is the use of our lives for the sake of whom we desire kingdom and pleasures?","O Govinda, what is the use of our kingdom or pleasures, what is the use of our lives for the sake of whom we desire kingdom and pleasures? 32 The teachers fathers fathers and grandfathers were leaving their lives in battle 33 I do not wish to kill these maternal uncles dogs, grandsons, brothers and relatives. 34 O Janardana, what is the use of killing Dhṛtarāṣṭra for the sake of the earth for the sake of the kingdom of the three worlds? 35."
33,त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ।आचार्याः पितरः पुत्रास्तथैव च पितामहाः ॥ ३3॥,,The teachers fathers fathers and grandfathers were leaving their lives in battle,
34,मातुलाः श्वश‍ुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ।एतान्न हन्तुमिच्छामि घ्न‍तोऽपि मधुसूदन ॥ ३४ ॥,,"I do not wish to kill these maternal uncles dogs, grandsons, brothers and relatives.",
35,अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ।निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्ज‍नार्दन ॥ ३५ ॥,,"O Janardana, what is the use of killing Dhṛtarāṣṭra for the sake of the earth for the sake of the kingdom of the three worlds?",
36,पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः ।तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्सबान्धवान् ।स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ॥ ३६ ॥,,They are the only ones who take refuge in the sin of killing us and are not worthy to kill the sons of Dhṛtarāṣṭra and their relatives .,They are the only ones who take refuge in the sin of killing us and are not worthy to kill the sons of Dhṛtarāṣṭra and their relatives 36.
37,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः ।कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ॥ ३७ ,,"Although these men are overwhelmed with greed and have destroyed their family, they are sinful in their companions and sin in betraying their friends.","Although these men are overwhelmed with greed and have destroyed their family, they are sinful in their companions and sin in betraying their friends. 37 O Janardana how can we not know how to escape our sins 38."
38,॥कथं न ज्ञेयमस्माभिः पापादस्मन्निवर्तितुम् ।कुलक्षयकृतं दोषं प्रपश्यद्भ‍िर्जनार्दन ॥ ३८ ॥,,O Janardana how can we not know how to escape our sins,
39,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः ।धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ॥ ३९ ॥,,The eternal religious duties of a family are destroyed when their religious duties are destroyed .,The eternal religious duties of a family are destroyed when their religious duties are destroyed 39.
40,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः ।स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः ॥ ४० ॥,,"O Kṛṣṇa, because of the influence of irreligion, O Kṛṣṇa, the women of the family are polluted, O Vārṣṇi, the confusion of castes is born in the wicked.    ","O Kṛṣṇa, because of the influence of irreligion, O Kṛṣṇa, the women of the family are polluted, O Vārṣṇi, the confusion of castes is born in the wicked. 40   "
41,सङ्करो नरकायैव कुलघ्न‍ानां कुलस्य च ।पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ॥ ४१ ॥,,"The mixture of the mixtures of the family kills the families of the families of the family, and the fruits of their lost bodies and water. .","The mixture of the mixtures of the family kills the families of the families of the family, and the fruits of their lost bodies and water. 41."
42,दोषैरेतैः कुलघ्न‍ानां वर्णसङ्करकारकैः ।उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ॥ ४२ ॥,,These are the defects of these defects of the mixtures of castes and the customs of the caste and the religious duties of the family are destroyed    ,These are the defects of these defects of the mixtures of castes and the customs of the caste and the religious duties of the family are destroyed 42   
43,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन ।नरके नियतं वासो भवतीत्यनुश‍ुश्रुम ॥ ४३ ॥,,"O Lord of the worlds, we have heard that the religious principles of men who have been destroyed are certainly resided in hell. .","O Lord of the worlds, we have heard that the religious principles of men who have been destroyed are certainly resided in hell. 43."
44,अहो बत महत्पापं कर्तुं व्यवसिता वयम् ।यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ॥ ४४ ॥,,"Oh, how a great sin we have decided to kill her relatives for the sake of the pleasures of the kingdom.    ","Oh, how a great sin we have decided to kill her relatives for the sake of the pleasures of the kingdom. 44   "
45,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः ।धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ॥ ४५ ॥,,If the sons of Dhṛtarāṣṭra kill me in battle with weapons in armed with weapons and without resistance they will be better for me in battle .,If the sons of Dhṛtarāṣṭra kill me in battle with weapons in armed with weapons and without resistance they will be better for me in battle 45.
46,सञ्जय उवाचएवमुक्त्वार्जुनः संख्ये रथोपस्थ उपाविशत् ।विसृज्य सशरं चापं शोकसंविग्न‍मानसः ॥ ४६ ॥,,Having spoken thus to him Arjuna threw his arrows at the chariot and sat down with his bow and was overwhelmed with grief .,Having spoken thus to him Arjuna threw his arrows at the chariot and sat down with his bow and was overwhelmed with grief 46.
