"slokas_no","slokas","slokas(no number)","slokas_english"
"11","मयि चानन्ययोगेन भक्तिरव्यभिचारिणी ।विविक्तदेशसेवित्वमरतिर्जनसंसदि ॥ ११ ॥","By the practice of exclusive devotion to Me is undisturbed by me and in the assembly of men who served them in a secluded place",""
"12","अध्यात्मज्ञाननित्यत्वं तत्त्वज्ञानार्थदर्शनम् ।एतज्ज्ञानमिति प्रोक्तमज्ञानं यदतोऽन्यथा ॥ १२ ॥","The eternity of spiritual knowledge is the vision of the meaning of knowledge of the truth and this knowledge is said to be ignorance",""
"13","ज्ञेयं यत्तत्प्रवक्ष्यामि यज्ज्ञात्वामृतमश्न‍ुते ।अनादिमत्परं ब्रह्म न सत्तन्नासदुच्यते ॥ १३ ॥","I shall now explain to you the knowledge that I shall explain to you, knowing the nectar of the Supreme Personality of Godhead, the eternal Supreme Absolute Truth, the Supreme Absolute Truth, and the Supreme Absolute Truth.  ॥","I shall now explain to you the knowledge that I shall explain to you, knowing the nectar of the Supreme Personality of Godhead, the eternal Supreme Absolute Truth, the Supreme Absolute Truth, and the Supreme Absolute Truth. 13 ॥"
"14","सर्वत: पाणिपादं तत्सर्वतोऽक्षिशिरोमुखम् ।सर्वत:श्रुतिमल्ल‍ोके सर्वमावृत्य तिष्ठति ॥ १४ ॥","His hands, feet, eyes, heads, faces and faces were covered with all kinds of scents, and he was covered with all kinds of scents.  ॥","His hands, feet, eyes, heads, faces and faces were covered with all kinds of scents, and he was covered with all kinds of scents. 14 ॥"
"15","सर्वेन्द्रियगुणाभासं सर्वेन्द्रियविवर्जितम् ।असक्तं सर्वभृच्च‍ैव निर्गुणं गुणभोक्तृ च ॥ १५ ॥","It is the reflection of all the senses and is devoid of all the senses and is not attached to the body and is devoid of the modes of nature  ॥","It is the reflection of all the senses and is devoid of all the senses and is not attached to the body and is devoid of the modes of nature 15 ॥"
"16","बहिरन्तश्च भूतानामचरं चरमेव च ।सूक्ष्मत्वात्तदविज्ञेयं दूरस्थं चान्तिके च तत् ॥ १६ ॥","Because of its subtlety the moving and non-moving beings are moving and unmoving and that which is not known or near or near  ॥","Because of its subtlety the moving and non-moving beings are moving and unmoving and that which is not known or near or near 16 ॥"
"17","अविभक्तं च भूतेषु विभक्तमिव च स्थितम् ।भूतभर्तृ च तज्ज्ञेयं ग्रसिष्णु प्रभविष्णु च ॥ १७ ॥","It is undivided and separated from all living entities as if they were separated from all living beings. .","It is undivided and separated from all living entities as if they were separated from all living beings. 17."
"18","ज्योतिषामपि तज्ज्योतिस्तमस: परमुच्यते ।ज्ञानं ज्ञेयं ज्ञानगम्यं हृदि सर्वस्य विष्ठितम् ॥ १८ ॥","The light of all the lights is called the supreme light, and the knowledge of all knowledge is perceivable in the heart.  ॥","The light of all the lights is called the supreme light, and the knowledge of all knowledge is perceivable in the heart. 18 ॥"
"19","इति क्षेत्रं तथा ज्ञानं ज्ञेयं चोक्तं समासत: ।मद्भ‍क्त एतद्विज्ञाय मद्भ‍ावायोपपद्यते ॥ १९ ॥","I have thus understood the field, knowledge, and knowable in detail. .","I have thus understood the field, knowledge, and knowable in detail. 19."
"20","प्रकृतिं पुरुषं चैव विद्ध्यनादी उभावपि ।विकारांश्च गुणांश्चैव विद्धि प्रकृतिसम्भवान् ॥ २० ॥","Know that both nature, the Supreme Personality of Godhead, the various elements, the modes of nature and the modes of nature, the origin and the modes of nature.  ॥","Know that both nature, the Supreme Personality of Godhead, the various elements, the modes of nature and the modes of nature, the origin and the modes of nature. 20 ॥"
"21","कार्यकारणकर्तृत्वे हेतु: प्रकृतिरुच्यते ।पुरुष: सुखदु:खानां भोक्तृत्वे हेतुरुच्यते ॥ २१ ॥","The cause of the cause and effect is called nature. The Supreme Personality of Godhead is the cause of the enjoyer of pleasures and pains.  ॥","The cause of the cause and effect is called nature. The Supreme Personality of Godhead is the cause of the enjoyer of pleasures and pains. 21 ॥"
"22","पुरुष: प्रकृतिस्थो हि भुङ्क्ते प्रकृतिजान्गुणान् ।कारणं गुणसङ्गोऽस्य सदसद्योनिजन्मसु ॥ २२ ॥","A person who is situated in the material world enjoys the modes of material nature and enjoys the modes of material nature.  ॥","A person who is situated in the material world enjoys the modes of material nature and enjoys the modes of material nature. 22 ॥"
"23","उपद्रष्टानुमन्ता च भर्ता भोक्ता महेश्वर: ।परमात्मेति चाप्युक्तो देहेऽस्मिन्पुरुष: पर: ॥ २३ ॥","The Supreme Personality of Godhead is the Supreme Personality of Godhead, who is the Supreme Personality of Godhead, the Supreme Personality of Godhead, who is the Supreme Personality of Godhead.  ॥","The Supreme Personality of Godhead is the Supreme Personality of Godhead, who is the Supreme Personality of Godhead, the Supreme Personality of Godhead, who is the Supreme Personality of Godhead. 23 ॥"
"24","य एवं वेत्ति पुरुषं प्रकृतिं च गुणै: सह ।सर्वथा वर्तमानोऽपि न स भूयोऽभिजायते ॥ २४ ॥","Anyone who thus knows the Supreme Personality of Godhead, along with His transcendental modes of nature, is never born again.  ॥","Anyone who thus knows the Supreme Personality of Godhead, along with His transcendental modes of nature, is never born again. 24 ॥"
"25","ध्यानेनात्मनि पश्यन्ति केचिदात्मानमात्मना ।अन्ये सांख्येन योगेन कर्मयोगेन चापरे ॥ २५ ॥","Some of them see themselves in the Self by meditation, while others see themselves in the Self by means of Sāṅkhya, yoga and yoga. .","Some of them see themselves in the Self by meditation, while others see themselves in the Self by means of Sāṅkhya, yoga and yoga. 25."
"26","अन्ये त्वेवमजानन्त: श्रुत्वान्येभ्य उपासते ।तेऽपि चातितरन्त्येव मृत्युं श्रुतिपरायणा: ॥ २६ ॥","Others, not knowing this, heard this from others, but they were devoted to the Vedas. .","Others, not knowing this, heard this from others, but they were devoted to the Vedas. 26."
"27","यावत्सञ्जायते किञ्चित्सत्त्वं स्थावरजङ्गमम् ।क्षेत्रक्षेत्रज्ञसंयोगात्तद्विद्धि भरतर्षभ ॥ २७ ॥","O best of the Bhāratas, know that as long as there is any living entity, movable and immovable, is united with the knower of the field and the field.  ॥","O best of the Bhāratas, know that as long as there is any living entity, movable and immovable, is united with the knower of the field and the field. 27 ॥"
"28","समं सर्वेषु भूतेषु तिष्ठन्तं परमेश्वरम् ।विनश्यत्स्वविनश्यन्तं य: पश्यति स पश्यति ॥ २८ ॥","He who sees the Supreme Personality of Godhead in all living entities is perishable and perishable and perishes in all living beings .","He who sees the Supreme Personality of Godhead in all living entities is perishable and perishable and perishes in all living beings 28."
"29","समं पश्यन्हि सर्वत्र समवस्थितमीश्वरम् ।न हिनस्त्यात्मनात्मानं ततो याति परां गतिम् ॥ २९ ॥","One who sees equality everywhere in the same position does not kill the Supreme Personality of Godhead and therefore attains the supreme destination .","One who sees equality everywhere in the same position does not kill the Supreme Personality of Godhead and therefore attains the supreme destination 29."
"30","प्रकृत्यैव च कर्माणि क्रियमाणानि सर्वश: ।य: पश्यति तथात्मानमकर्तारं स पश्यति ॥ ३० ॥","He who sees himself in every way by nature sees himself in the same way as the doer of the universe. .","He who sees himself in every way by nature sees himself in the same way as the doer of the universe. 30."
"31","यदा भूतपृथग्भावमेकस्थमनुपश्यति ।तत एव च विस्तारं ब्रह्म सम्पद्यते तदा ॥ ३१ ॥","When one sees the separate nature of the living entity in one place, the expansion of the Absolute Truth is attained.  ॥","When one sees the separate nature of the living entity in one place, the expansion of the Absolute Truth is attained. 31 ॥"
"32","अनादित्वान्निर्गुणत्वात्परमात्मायमव्यय: ।शरीरस्थोऽपि कौन्तेय न करोति न लिप्यते ॥ ३२ ॥","O son of Kunti, even though the Supreme Self is eternal and devoid of the modes of material nature, the Supreme Self is not tainted or tainted by the body.  ॥","O son of Kunti, even though the Supreme Self is eternal and devoid of the modes of material nature, the Supreme Self is not tainted or tainted by the body. 32 ॥"
"33","यथा सर्वगतं सौक्ष्म्यादाकाशं नोपलिप्यते ।सर्वत्रावस्थितो देहे तथात्मा नोपलिप्यते ॥ ३३ ॥","Just as the sky is omnipresent in all its subtlety and the self is not tainted in the body, so the self is not tainted in the body. .","Just as the sky is omnipresent in all its subtlety and the self is not tainted in the body, so the self is not tainted in the body. 33."
"34","यथा प्रकाशयत्येक: कृत्स्‍नं लोकमिमं रवि: ।क्षेत्रं क्षेत्री तथा कृत्स्‍नं प्रकाशयति भारत ॥ ३४ ॥","O descendant of Bharata, in the same way that the sun illuminates the entire world, the field and the field, the entire world is illuminated.  ॥","O descendant of Bharata, in the same way that the sun illuminates the entire world, the field and the field, the entire world is illuminated. 34 ॥"
"35","क्षेत्रक्षेत्रज्ञयोरेवमन्तरं ज्ञानचक्षुषा ।भूतप्रकृतिमोक्षं च ये विदुर्यान्ति ते परम् ॥ ३५ ॥","Those who know the difference between the senses and the fields of knowledge and the knowledge of the Supreme Personality of Godhead, the Supreme Personality of Godhead, who know the Supreme Personality of Godhead. .","Those who know the difference between the senses and the fields of knowledge and the knowledge of the Supreme Personality of Godhead, the Supreme Personality of Godhead, who know the Supreme Personality of Godhead. 35."
