slokas_no,slokas,slokas(no number),slokas_english
20,अहमात्मा गुडाकेश सर्वभूताशयस्थित: ।अहमादिश्च मध्यं च भूतानामन्त एव च ॥ २० ॥,"O Gudakesha, I am the Self, and I am situated in the hearts of all living beings. I am the beginning, the middle and the end of all living entities.  ॥","O Gudakesha, I am the Self, and I am situated in the hearts of all living beings. I am the beginning, the middle and the end of all living entities. 20 ॥"
21,आदित्यानामहं विष्णुर्ज्योतिषां रविरंश‍ुमान् ।मरीचिर्मरुतामस्मि नक्षत्राणामहं शशी ॥ २१ ॥,Among the suns I am Lord Viṣṇu among the luminaries among the luminaries among the suns I am Marichi among the Maruts among the constellations I am the moon  ॥,Among the suns I am Lord Viṣṇu among the luminaries among the luminaries among the suns I am Marichi among the Maruts among the constellations I am the moon 21 ॥
22,वेदानां सामवेदोऽस्मि देवानामस्मि वासव: ।इन्द्रियाणां मनश्चास्मि भूतानामस्मि चेतना ॥ २२ ॥,Among the Vedas I am the Sāma Veda among the demigods I am Vāsava among the senses I am the mind of the senses I am the consciousness of all living beings  ॥,Among the Vedas I am the Sāma Veda among the demigods I am Vāsava among the senses I am the mind of the senses I am the consciousness of all living beings 22 ॥
23,रुद्राणां शङ्करश्चास्मि वित्तेशो यक्षरक्षसाम् ।वसूनां पावकश्चास्मि मेरु: शिखरिणामहम् ॥ २३ ॥,Among the Rudras I am Lord Śiva among the Rudras and among the Yakshas and Rākṣasas I am the fire among the Vasus and among the peaks I am the fire  ॥,Among the Rudras I am Lord Śiva among the Rudras and among the Yakshas and Rākṣasas I am the fire among the Vasus and among the peaks I am the fire 23 ॥
24,पुरोधसां च मुख्यं मां विद्धि पार्थ बृहस्पतिम् ।सेनानीनामहं स्कन्द: सरसामस्मि सागर: ॥ २४ ॥,"O son of Pṛthā, know Me as the chief among the priests, Bṛhaspati, among the armies I am Skanda, and I am the ocean of the lakes.  ॥","O son of Pṛthā, know Me as the chief among the priests, Bṛhaspati, among the armies I am Skanda, and I am the ocean of the lakes. 24 ॥"
25,महर्षीणां भृगुरहं गिरामस्म्येकमक्षरम् ।यज्ञानां जपयज्ञोऽस्मि स्थावराणां हिमालय: ॥ २५ ॥,"I am Bhṛgu among the great sages, and I am the one syllable of the Supreme Personality of Godhead. .","I am Bhṛgu among the great sages, and I am the one syllable of the Supreme Personality of Godhead. 25."
26,अश्वत्थ: सर्ववृक्षाणां देवर्षीणां च नारद: ।गन्धर्वाणां चित्ररथ: सिद्धानां कपिलो मुनि: ॥ २६ ॥,"The sage Kapila was the son of Kītāratha among the Gandharvas, the gandharvas and the great sages of all the śiddhas. .","The sage Kapila was the son of Kītāratha among the Gandharvas, the gandharvas and the great sages of all the śiddhas. 26."
27,उच्‍चैःश्रवसमश्वानां विद्धि माममृतोद्भ‍वम् ।ऐरावतं गजेन्द्राणां नराणां च नराधिपम् ॥ २७ ॥,Know Me to be the nectar of the horses of the horses and the king of the elephants and the king of men  ॥,Know Me to be the nectar of the horses of the horses and the king of the elephants and the king of men 27 ॥
28,आयुधानामहं वज्रं धेनूनामस्मि कामधुक् ।प्रजनश्चास्मि कन्दर्प: सर्पाणामस्मि वासुकि: ॥ २८ ॥,Among the weapons I am the thunderbolt among the cows I am the milk of the desires I am the progenitor of the sons of Cupid and I am Vāsuki among the serpents .,Among the weapons I am the thunderbolt among the cows I am the milk of the desires I am the progenitor of the sons of Cupid and I am Vāsuki among the serpents 28.
29,अनन्तश्चास्मि नागानां वरुणो यादसामहम् ।पितॄणामर्यमा चास्मि यम: संयमतामहम् ॥ २९ ॥,Among the forefathers I am Varuṇa among the serpents I am infinite among the serpents I am Yama among the forefathers I am Yama among the controllers .,Among the forefathers I am Varuṇa among the serpents I am infinite among the serpents I am Yama among the forefathers I am Yama among the controllers 29.
30,प्रह्लादश्चास्मि दैत्यानां काल: कलयतामहम् ।मृगाणां च मृगेन्द्रोऽहं वैनतेयश्च पक्षिणाम् ॥ ३० ॥,"I am Prahlāda among the demons, and among the mergers I am the deer among the deer. I am the lion among the birds. .","I am Prahlāda among the demons, and among the mergers I am the deer among the deer. I am the lion among the birds. 30."
31,पवन: पवतामस्मि राम: शस्त्रभृतामहम् ।झषाणां मकरश्चास्मि स्रोतसामस्मि जाह्नवी ॥ ३१ ॥,Among the winds among the winds I am Rama among the bearers of weapons I am the crocodile among the fish I am the source of the streams I am the Jahnavi  ॥,Among the winds among the winds I am Rama among the bearers of weapons I am the crocodile among the fish I am the source of the streams I am the Jahnavi 31 ॥
32,सर्गाणामादिरन्तश्च मध्यं चैवाहमर्जुन ।अध्यात्मविद्या विद्यानां वाद: प्रवदतामहम् ॥ ३२ ॥,O Arjuna I am the beginning and the end of all creations I am the knowledge of the spiritual knowledge among the learned  ॥,O Arjuna I am the beginning and the end of all creations I am the knowledge of the spiritual knowledge among the learned 32 ॥
33,अक्षराणामकारोऽस्मि द्वन्द्व: सामासिकस्य च ।अहमेवाक्षय: कालो धाताहं विश्वतोमुख: ॥ ३३ ॥,"I am the duality of the syllables of the syllables, and I am the infinitesimal time. .","I am the duality of the syllables of the syllables, and I am the infinitesimal time. 33."
34,मृत्यु: सर्वहरश्चाहमुद्भ‍वश्च भविष्यताम् ।कीर्ति: श्रीर्वाक्‍च नारीणां स्मृतिर्मेधा धृति: क्षमा ॥ ३४ ॥,"I am death, the destroyer of all, and I am the source of all knowledge.  ॥","I am death, the destroyer of all, and I am the source of all knowledge. 34 ॥"
35,बृहत्साम तथा साम्न‍ां गायत्री छन्दसामहम् ।मासानां मार्गशीर्षोऽहमृतूनां कुसुमाकर: ॥ ३५ ॥,"The Gāyatrī Sāma and the Gāyatrī are the same as the Gāyatrī mantra, and the month of Margaśīrṣa is the month of Mārgaśīrṣa. .","The Gāyatrī Sāma and the Gāyatrī are the same as the Gāyatrī mantra, and the month of Margaśīrṣa is the month of Mārgaśīrṣa. 35."
36,द्यूतं छलयतामस्मि तेजस्तेजस्विनामहम् ।जयोऽस्मि व्यवसायोऽस्मि सत्त्वं सत्त्ववतामहम् ॥ ३६ ॥,I am the effulgence of the effulgence of the effulgence of those who are deceived by the gambling I am the victory I am the determination I am the mode of goodness among the virtuous .,I am the effulgence of the effulgence of the effulgence of those who are deceived by the gambling I am the victory I am the determination I am the mode of goodness among the virtuous 36.
37,वृष्णीनां वासुदेवोऽस्मि पाण्डवानां धनञ्जय: ।मुनीनामप्यहं व्यास: कवीनामुशना कवि: ॥ ३७ ॥,"Among the Vṛṣṇis, I am Vāsudeva among the Pāṇḍavas, and among the sages among the sages I am Vyāsa, and among the poets I am Vyāsa. .","Among the Vṛṣṇis, I am Vāsudeva among the Pāṇḍavas, and among the sages among the sages I am Vyāsa, and among the poets I am Vyāsa. 37."
38,दण्डो दमयतामस्मि नीतिरस्मि जिगीषताम् ।मौनं चैवास्मि गुह्यानां ज्ञानं ज्ञानवतामहम् ॥ ३८ ॥,I am punishment for those who control the punishment of those who desire to conquer among the secrets I am the knowledge of the secrets .,I am punishment for those who control the punishment of those who desire to conquer among the secrets I am the knowledge of the secrets 38.
39,यच्च‍ापि सर्वभूतानां बीजं तदहमर्जुन ।न तदस्ति विना यत्स्यान्मया भूतं चराचरम् ॥ ३९ ॥,"O Arjuna, I am the seed of all living entities, O Arjuna, and without Me, all moving and nonmoving beings exist. .","O Arjuna, I am the seed of all living entities, O Arjuna, and without Me, all moving and nonmoving beings exist. 39."
40,नान्तोऽस्ति मम दिव्यानां विभूतीनां परन्तप ।एष तूद्देशत: प्रोक्तो विभूतेर्विस्तरो मया ॥ ४० ॥,"O destroyer of enemies, I have described the details of the glories of the Supreme Personality of Godhead.  ॥","O destroyer of enemies, I have described the details of the glories of the Supreme Personality of Godhead. 40 ॥"
41,यद्यद्विभूतिमत्सत्त्वं श्रीमदूर्जितमेव वा ।तत्तदेवावगच्छ त्वं मम तेजोऽशसम्भवम् ॥ ४१ ॥,Please understand that whatever is glorious or opulent or powerful is born of My effulgence. .,Please understand that whatever is glorious or opulent or powerful is born of My effulgence. 41.
42,अथवा बहुनैतेन किं ज्ञातेन तवार्जुन ।विष्टभ्याहमिदं कृत्स्नमेकांशेन स्थितो जगत् ॥ ४२ ॥,"Or else, O Arjuna, what is the use of this great thing? I am sitting in the entire universe with one part of the universe.  ॥","Or else, O Arjuna, what is the use of this great thing? I am sitting in the entire universe with one part of the universe. 42 ॥"
