slokas_no,slokas,slokas_english(no number),slokas_english
13,महात्मानस्तु मां पार्थ दैवीं प्रकृतिमाश्रिता: ।भजन्त्यनन्यमनसो ज्ञात्वा भूतादिमव्ययम् ॥ १३ ॥,"The great souls, O son of Pṛthā, resort to Me, the divine nature, worship Me with exclusive minds, knowing that I am the Supreme Being, the beginning and the beginning.   ","The great souls, O son of Pṛthā, resort to Me, the divine nature, worship Me with exclusive minds, knowing that I am the Supreme Being, the beginning and the beginning. 13  "
14,सततं कीर्तयन्तो मां यतन्तश्च दृढव्रता: ।नमस्यन्तश्च मां भक्त्य‍ा नित्ययुक्ता उपासते ॥ १४ ॥,Those who are constantly engaged in chanting Me and strive to keep their vows and who are always steadfast in devotional service and worship Me with devotion.   ,Those who are constantly engaged in chanting Me and strive to keep their vows and who are always steadfast in devotional service and worship Me with devotion. 14  
15,ज्ञानयज्ञेन चाप्यन्ये यजन्तो मामुपासते ।एकत्वेन पृथक्त्वेन बहुधा विश्वतोमुखम् ॥ १५ ॥,"Others worship Me by performing the sacrifice of knowledge and worship Me in many ways in oneness, separately, in many ways.   ","Others worship Me by performing the sacrifice of knowledge and worship Me in many ways in oneness, separately, in many ways. 15  "
16,अहं क्रतुरहं यज्ञ: स्वधाहमहमौषधम् ।मन्‍त्रोऽहमहमेवाज्यमहमग्न‍िरहं हुतम् ॥ १६ ॥,"I am the sacrifice, I am the sacrifice, I am the sacrifice, I am the medicine. I am the mantra, I am the sacrifice, and I am the sacrifice.   ","I am the sacrifice, I am the sacrifice, I am the sacrifice, I am the medicine. I am the mantra, I am the sacrifice, and I am the sacrifice. 16  "
17,पिताहमस्य जगतो माता धाता पितामह: ।वेद्यं पवित्रम् ॐकार ऋक् साम यजुरेव च ॥ १७ ॥,"I am the father of the universe, the mother, the mother, the grandfather, the sacred omkara, the Ṛk, the Sāma and Yajur Veda. .","I am the father of the universe, the mother, the mother, the grandfather, the sacred omkara, the Ṛk, the Sāma and Yajur Veda. 17."
18,गतिर्भर्ता प्रभु: साक्षी निवास: शरणं सुहृत् ।प्रभव: प्रलय: स्थानं निधानं बीजमव्ययम् ॥ १८ ॥,"The destination is the master, the master is the witness, the dwelling place is the shelter, the friend is the source, the annihilation, the place, the treasure, the inexhaustible seed.   ","The destination is the master, the master is the witness, the dwelling place is the shelter, the friend is the source, the annihilation, the place, the treasure, the inexhaustible seed. 18  "
19,तपाम्यहमहं वर्षं निगृह्णाम्युत्सृजामि च ।अमृतं चैव मृत्युश्च सदसच्च‍ाहमर्जुन ॥ १९ ॥,"O Arjuna, I am heating up the rain, I am restraining the rain. .","O Arjuna, I am heating up the rain, I am restraining the rain. 19."
20,त्रैविद्या मां सोमपा: पूतपापायज्ञैरिष्ट्वा स्वर्गतिं प्रार्थयन्ते ।ते पुण्यमासाद्य सुरेन्द्रलोक-मश्न‍‍न्ति दिव्यान्दिवि देवभोगान् ॥ २० ॥,"The threefold knowledge of the demigods, who are purified by the sacrifices of pure sins, worship Me and pray for heaven after attaining heaven.   ","The threefold knowledge of the demigods, who are purified by the sacrifices of pure sins, worship Me and pray for heaven after attaining heaven. 20  "
21,ते तं भुक्त्वा स्वर्गलोकं विशालंक्षीणे पुण्ये मर्त्यलोकं विशन्ति ।एवं त्रयीधर्ममनुप्रपन्नागतागतं कामकामा लभन्ते ॥ २१ ॥,"After enjoying the great world of heaven, they enter into the world of heavenly planets, and when they have attained the customs of the Trinity, they will attain the same way as they have attained the path of the Trinity.   ","After enjoying the great world of heaven, they enter into the world of heavenly planets, and when they have attained the customs of the Trinity, they will attain the same way as they have attained the path of the Trinity. 21  "
22,अनन्याश्चिन्तयन्तो मां ये जना: पर्युपासते ।तेषां नित्याभियुक्तानां योगक्षेमं वहाम्यहम् ॥ २२ ॥,"Those who worship Me, thinking of Me, are always engaged in the practice of yoga, I shall bear the safety of yoga.   ","Those who worship Me, thinking of Me, are always engaged in the practice of yoga, I shall bear the safety of yoga. 22  "
23,येऽप्यन्यदेवताभक्ता यजन्ते श्रद्धयान्विता: ।तेऽपि मामेव कौन्तेय यजन्त्यविधिपूर्वकम् ॥ २३ ॥,"O son of Kunti, those who are devoted to other demigods and who worship Me with faith are also sacrificed to Me.   ","O son of Kunti, those who are devoted to other demigods and who worship Me with faith are also sacrificed to Me. 23  "
24,अहं हि सर्वयज्ञानां भोक्ता च प्रभुरेव च ।न तु मामभिजानन्ति तत्त्वेनातश्‍च्‍यवन्ति ते ॥ २४ ॥,I am the enjoyer and master of all sacrifices but they do not know Me in truth.   ,I am the enjoyer and master of all sacrifices but they do not know Me in truth. 24  
25,यान्ति देवव्रता देवान्पितॄन्यान्ति पितृव्रता: ।भूतानि यान्ति भूतेज्या यान्ति मद्याजिनोऽपि माम् ॥ २५ ॥,"Those who are devoted to the demigods go to the demigods, the forefathers, the forefathers, the vows of all living entities. .","Those who are devoted to the demigods go to the demigods, the forefathers, the forefathers, the vows of all living entities. 25."
26,पत्रं पुष्पं फलं तोयं यो मे भक्त्य‍ा प्रयच्छति ।तदहं भक्त्य‍ुपहृतमश्न‍ामि प्रयतात्मन: ॥ २६ ॥,"I offer myself with devotion to the Supreme Personality of Godhead who offers me leaves, flowers, fruits and water with devotion to Me. .","I offer myself with devotion to the Supreme Personality of Godhead who offers me leaves, flowers, fruits and water with devotion to Me. 26."
27,यत्करोषि यदश्न‍ासि यज्ज‍ुहोषि ददासि यत् ।यत्तपस्यसि कौन्तेय तत्कुरुष्व मदर्पणम् ॥ २७ ॥,"Whatever you do, O son of Kunti, please do whatever you do, O son of Kunti.   ","Whatever you do, O son of Kunti, please do whatever you do, O son of Kunti. 27  "
28,श‍ुभाश‍ुभफलैरेवं मोक्ष्यसे कर्मबन्धनै: ।सन्न्यासयोगयुक्तात्मा विमुक्तो मामुपैष्यसि ॥ २८ ॥,You will be freed from the fruits of your actions by the fruits of auspicious rituals and by the practice of renunciation and yoga You will be liberated. .,You will be freed from the fruits of your actions by the fruits of auspicious rituals and by the practice of renunciation and yoga You will be liberated. 28.
29,समोऽहं सर्वभूतेषु न मे द्वेष्योऽस्ति न प्रिय: ।ये भजन्ति तु मां भक्त्य‍ा मयि ते तेषु चाप्यहम् ॥ २९ ॥,I am equal to all living beings and I am not hated by Me. Those who worship Me in Me and who worship Me in Me in Me. .,I am equal to all living beings and I am not hated by Me. Those who worship Me in Me and who worship Me in Me in Me. 29.
30,अपि चेत्सुदुराचारो भजते मामनन्यभाक् ।साधुरेव स मन्तव्य: सम्यग्व्यवसितो हि स: ॥ ३० ॥,"If a person who is very difficult to conduct himself is a devotee of Me, he should be considered as a saintly person. .","If a person who is very difficult to conduct himself is a devotee of Me, he should be considered as a saintly person. 30."
31,क्षिप्रं भवति धर्मात्मा शश्वच्छान्तिं निगच्छति ।कौन्तेय प्रतिजानीहि न मे भक्त: प्रणश्यति ॥ ३१ ॥,"O son of Kunti, I will soon become a righteous person who has attained eternal peace.   ","O son of Kunti, I will soon become a righteous person who has attained eternal peace. 31  "
32,मां हि पार्थ व्यपाश्रित्य येऽपि स्यु: पापयोनय: ।स्त्रियो वैश्यास्तथा श‍ूद्रास्तेऽपि यान्ति परां गतिम् ॥ ३२ ॥,"O son of Pṛthā, those who take refuge in Me, O son of Pṛthā, who are born of sinful deeds, who are alive and who are alive, attain to the supreme destination.   ","O son of Pṛthā, those who take refuge in Me, O son of Pṛthā, who are born of sinful deeds, who are alive and who are alive, attain to the supreme destination. 32  "
33,किं पुनर्ब्राह्मणा: पुण्या भक्ता राजर्षयस्तथा ।अनित्यमसुखं लोकमिमं प्राप्य भजस्व माम् ॥ ३३ ॥,What to speak of the pious devotees of the saintly kings .,What to speak of the pious devotees of the saintly kings 33.
34,मन्मना भव मद्भ‍क्तो मद्याजी मां नमस्कुरु ।मामेवैष्यसि युक्त्वैवमात्मानं मत्परायण: ॥ ३४ ॥,"Become a devotee of Me and be My devotee, and please bow down to Me. You will come to Me and thus concentrating on Me in this way, devoted to Me.   ","Become a devotee of Me and be My devotee, and please bow down to Me. You will come to Me and thus concentrating on Me in this way, devoted to Me. 34  "
