slokas_no,slokas,slokas_english(no numbers),slokas_english
15,न मां दुष्कृतिनो मूढा: प्रपद्यन्ते नराधमा: ।माययापहृतज्ञाना आसुरं भावमाश्रिता: ॥ १५ ॥,"Those who are fools and who have taken away their knowledge of the demons, who have taken refuge in the demoniac nature, do not take refuge in Me.   ","Those who are fools and who have taken away their knowledge of the demons, who have taken refuge in the demoniac nature, do not take refuge in Me. 15  "
16,चतुर्विधा भजन्ते मां जना: सुकृतिनोऽर्जुन ।आर्तो जिज्ञासुरर्थार्थी ज्ञानी च भरतर्षभ ॥ १६ ॥,"O Arjuna, O best of the Bhāratas, I am in distress, inquisitive and seeking wealth.   ","O Arjuna, O best of the Bhāratas, I am in distress, inquisitive and seeking wealth. 16  "
17,तेषां ज्ञानी नित्ययुक्त एकभक्तिर्विशिष्यते ।प्रियो हि ज्ञानिनोऽत्यर्थमहं स च मम प्रिय: ॥ १७ ॥,The wise are ever engaged in devotional service and one is the most dear to the wise. I am very dear to the wise. He is dear to Me. .,The wise are ever engaged in devotional service and one is the most dear to the wise. I am very dear to the wise. He is dear to Me. 17.
18,उदारा: सर्व एवैते ज्ञानी त्वात्मैव मे मतम् ।आस्थित: स हि युक्तात्मा मामेवानुत्तमां गतिम् ॥ १८ ॥,"All these are generous to Me, and I think that the self is self-controlled.   ","All these are generous to Me, and I think that the self is self-controlled. 18  "
19,बहूनां जन्मनामन्ते ज्ञानवान्मां प्रपद्यते ।वासुदेव: सर्वमिति स महात्मा सुदुर्लभ: ॥ १९ ॥,"At the end of many births, the wise man attains Me. .","At the end of many births, the wise man attains Me. 19."
20,कामैस्तैस्तैर्हृतज्ञाना: प्रपद्यन्तेऽन्यदेवता: ।तं तं नियममास्थाय प्रकृत्या नियता: स्वया ॥ २० ॥,"Those who have taken away their knowledge of the demigods, who have taken away their knowledge of the demigods, who are self-controlled by their own nature and who are self-regent in their own nature.   ","Those who have taken away their knowledge of the demigods, who have taken away their knowledge of the demigods, who are self-controlled by their own nature and who are self-regent in their own nature. 20  "
21,यो यो यां यां तनुं भक्त: श्रद्धयार्चितुमिच्छति ।तस्य तस्याचलां श्रद्धां तामेव विदधाम्यहम् ॥ २१ ॥,I shall establish the same body as a devotee of the Supreme Personality of Godhead with faith and worships Him with His faith.   ,I shall establish the same body as a devotee of the Supreme Personality of Godhead with faith and worships Him with His faith. 21  
22,स तया श्रद्धया युक्तस्तस्याराधनमीहते ।लभते च तत: कामान्मयैव विहितान्हि तान् ॥ २२ ॥,"Endowed with that faith, he obtains the worship of the Lord and obtains the desires of the Supreme Personality of Godhead.   ","Endowed with that faith, he obtains the worship of the Lord and obtains the desires of the Supreme Personality of Godhead. 22  "
23,अन्तवत्तु फलं तेषां तद्भ‍वत्यल्पमेधसाम् ।देवान्देवयजो यान्ति मद्भ‍क्ता यान्ति मामपि ॥ २३ ॥,"The final rewards of these lowly persons are the same as the demigods who perform low intelligence and the demigods go to Me, and they attain Me.   ","The final rewards of these lowly persons are the same as the demigods who perform low intelligence and the demigods go to Me, and they attain Me. 23  "
24,अव्यक्तं व्यक्तिमापन्नं मन्यन्ते मामबुद्धय: ।परं भावमजानन्तो ममाव्ययमनुत्तमम् ॥ २४ ॥,"Those who are ignorant of the unmanifest incomplete person do not know Me, knowing that My transcendental nature is incomprehensible to Me.   ","Those who are ignorant of the unmanifest incomplete person do not know Me, knowing that My transcendental nature is incomprehensible to Me. 24  "
25,नाहं प्रकाश: सर्वस्य योगमायासमावृत: ।मूढोऽयं नाभिजानाति लोको मामजमव्ययम् ॥ २५ ॥,"I am not illuminated by the illusory energy of all mystics. This foolish world does not recognize Me, the unborn and inexhaustible. .","I am not illuminated by the illusory energy of all mystics. This foolish world does not recognize Me, the unborn and inexhaustible. 25."
26,वेदाहं समतीतानि वर्तमानानि चार्जुन ।भविष्याणि च भूतानि मां तु वेद न कश्चन ॥ २६ ॥,"O Arjuna, I know that I am the past and the future, and no one knows Me, and no one knows Me. .","O Arjuna, I know that I am the past and the future, and no one knows Me, and no one knows Me. 26."
27,इच्छाद्वेषसमुत्थेन द्वन्द्वमोहेन भारत ।सर्वभूतानि सम्मोहं सर्गे यान्ति परन्तप ॥ २७ ॥,"O descendant of the enemy, by the delusion of duality arising from desire and hatred, all living entities are deluded in creation, O scorcher of enemies.   ","O descendant of the enemy, by the delusion of duality arising from desire and hatred, all living entities are deluded in creation, O scorcher of enemies. 27  "
28,येषां त्वन्तगतं पापं जनानां पुण्यकर्मणाम् ।ते द्वन्द्वमोहनिर्मुक्ता भजन्ते मां दृढव्रता: ॥ २८ ॥,Those who are free from the delusion of duality and who are deluded by the delusion of duality and who are deluded by the dualities of their pious activities .,Those who are free from the delusion of duality and who are deluded by the delusion of duality and who are deluded by the dualities of their pious activities 28.
29,जरामरणमोक्षाय मामाश्रित्य यतन्ति ये ।ते ब्रह्म तद्विदु: कृत्स्नमध्यात्मं कर्म चाखिलम् ॥ २९ ॥,Those who strive for the liberation from old age and death and strive for the Absolute Truth know that all that is spiritual and all other activities. .,Those who strive for the liberation from old age and death and strive for the Absolute Truth know that all that is spiritual and all other activities. 29.
30,साधिभूताधिदैवं मां साधियज्ञं च ये विदु: ।प्रयाणकालेऽपि च मां ते विदुर्युक्तचेतस: ॥ ३० ॥,"Those who know Me as the Supreme Personality of Godhead, the Supreme Personality of Godhead, the Supreme Personality of Godhead, who know Me as the Supreme Personality of Godhead. .","Those who know Me as the Supreme Personality of Godhead, the Supreme Personality of Godhead, the Supreme Personality of Godhead, who know Me as the Supreme Personality of Godhead. 30."
,,,
,,,
,,,
,,,
,,,
