,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
20,The cause of the cause and effect is called nature. The Supreme Personality of Godhead is the cause of the enjoyer of pleasures and pains.  ॥,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,A person who is situated in the material world enjoys the modes of material nature and enjoys the modes of material nature.  ॥,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"The Supreme Personality of Godhead is the Supreme Personality of Godhead, who is the Supreme Personality of Godhead, the Supreme Personality of Godhead, who is the Supreme Personality of Godhead.  ॥",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Anyone who thus knows the Supreme Personality of Godhead, along with His transcendental modes of nature, is never born again.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Some of them see themselves in the Self by meditation, while others see themselves in the Self by means of Sāṅkhya, yoga and yoga. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Others, not knowing this, heard this from others, but they were devoted to the Vedas. .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,"O best of the Bhāratas, know that as long as there is any living entity, movable and immovable, is united with the knower of the field and the field.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,He who sees the Supreme Personality of Godhead in all living entities is perishable and perishable and perishes in all living beings .,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,One who sees equality everywhere in the same position does not kill the Supreme Personality of Godhead and therefore attains the supreme destination .,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,He who sees himself in every way by nature sees himself in the same way as the doer of the universe. .,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,"When one sees the separate nature of the living entity in one place, the expansion of the Absolute Truth is attained.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"O son of Kunti, even though the Supreme Self is eternal and devoid of the modes of material nature, the Supreme Self is not tainted or tainted by the body.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Just as the sky is omnipresent in all its subtlety and the self is not tainted in the body, so the self is not tainted in the body. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"O descendant of Bharata, in the same way that the sun illuminates the entire world, the field and the field, the entire world is illuminated.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Those who know the difference between the senses and the fields of knowledge and the knowledge of the Supreme Personality of Godhead, the Supreme Personality of Godhead, who know the Supreme Personality of Godhead. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
